Sample,X,Y,Z
0,0.000,0.000,0.980
1,-0.004,0.000,0.977
2,-0.008,0.004,0.984
3,-0.012,0.000,0.980
4,-0.008,0.004,0.977
5,-0.008,0.012,0.980
6,-0.008,0.008,0.984
7,-0.016,0.012,0.984
8,-0.008,0.008,0.988
9,-0.008,0.008,0.980
10,-0.008,0.012,0.988
11,-0.016,0.000,0.984
12,-0.012,-0.004,0.988
13,-0.016,0.000,0.977
14,-0.004,-0.008,0.984
15,-0.016,0.004,0.973
16,-0.008,0.008,0.969
17,-0.008,0.004,0.980
18,-0.008,0.012,0.988
19,-0.008,0.004,0.988
20,-0.012,0.004,0.984
21,-0.020,0.000,0.984
22,-0.016,0.012,0.980
23,-0.008,-0.004,0.988
24,-0.012,0.004,0.984
25,-0.008,-0.008,0.984
26,-0.008,-0.004,0.973
27,-0.008,-0.012,0.984
28,-0.008,0.000,0.988
29,-0.016,-0.004,0.977
30,-0.012,0.000,0.988
31,-0.020,0.016,0.996
32,-0.016,0.012,0.992
33,-0.016,0.012,0.984
34,-0.020,0.004,0.984
35,-0.008,-0.004,0.980
36,-0.016,0.000,0.988
37,-0.008,-0.004,0.977
38,-0.008,0.008,0.973
39,-0.008,0.004,0.980
40,-0.008,0.004,0.980
41,-0.012,0.004,0.988
42,-0.012,0.004,0.988
43,-0.012,0.000,0.980
44,-0.008,0.004,0.988
45,-0.008,0.004,0.984
46,-0.008,0.000,0.984
47,-0.012,-0.004,0.980
48,-0.016,0.008,0.980
49,-0.012,0.004,0.988
50,-0.012,0.004,0.984
51,-0.012,0.000,0.984
52,-0.016,-0.004,0.992
53,-0.016,0.000,0.992
54,-0.016,0.016,0.988
55,-0.012,0.004,0.980
56,-0.012,-0.004,0.988
57,-0.008,0.004,0.984
58,-0.012,0.004,0.980
59,-0.020,-0.004,0.980
60,-0.012,-0.031,0.969
61,-0.008,0.004,0.984
62,-0.012,0.008,0.984
63,-0.004,0.004,0.980
64,-0.008,0.008,0.984
65,-0.016,0.004,0.996
66,-0.016,-0.004,0.988
67,-0.012,-0.004,0.984
68,-0.012,0.000,0.984
69,-0.008,-0.004,0.984
70,-0.012,-0.008,0.980
71,-0.020,-0.012,0.977
72,-0.012,0.004,0.992
73,-0.008,0.000,0.980
74,-0.016,0.012,0.980
75,-0.008,0.000,0.984
76,-0.012,0.000,0.988
77,-0.008,0.000,0.977
78,-0.012,0.008,0.980
79,-0.004,0.004,0.996
80,-0.004,-0.020,0.984
81,-0.004,0.000,0.980
82,-0.012,-0.004,0.984
83,-0.020,-0.004,0.988
84,-0.016,0.000,0.977
85,-0.012,0.000,0.988
86,-0.012,0.016,0.988
87,-0.012,0.000,0.980
88,-0.016,0.004,0.980
89,-0.016,-0.004,0.977
90,-0.008,-0.008,0.965
91,0.008,0.016,0.836
92,0.031,0.172,0.785
93,-0.102,0.605,1.129
94,-0.383,1.113,1.645
95,-0.566,1.402,1.629
96,-0.477,1.559,1.184
97,-0.340,1.785,1.289
98,-0.520,1.910,1.367
99,-0.805,1.660,0.637
100,-0.898,1.363,0.188
101,-0.637,1.137,0.715
102,-0.184,0.891,1.082
103,-0.344,0.477,0.176
104,-0.969,0.316,-0.262
105,-1.188,0.441,0.391
106,-0.594,0.488,0.969
107,-0.141,0.344,0.676
108,-0.602,0.352,0.512
109,-1.199,0.527,0.871
110,-0.879,0.680,1.258
111,-0.316,0.734,1.633
112,-0.465,0.734,1.898
113,-0.785,0.859,1.867
114,-0.367,0.969,1.238
115,0.129,0.969,0.914
116,-0.094,0.816,1.156
117,-0.762,0.402,0.918
118,-0.910,0.070,0.594
119,-0.238,0.137,1.105
120,0.387,0.324,1.473
121,0.465,0.195,0.766
122,0.117,-0.031,-0.105
123,-0.316,0.180,-0.047
124,-0.375,0.875,1.102
125,-0.020,1.441,1.707
126,0.184,1.453,1.113
127,0.082,1.059,0.203
128,-0.340,0.992,0.398
129,-0.652,1.355,1.551
130,-0.648,1.633,1.992
131,-0.875,1.457,1.793
132,-1.074,0.984,0.766
133,-0.852,0.801,0.316
134,-0.461,0.820,0.801
135,-0.414,0.727,1.164
136,-0.645,0.523,0.578
137,-0.652,0.254,0.047
138,-0.391,0.082,0.406
139,-0.129,0.203,1.258
140,-0.738,0.461,1.715
141,-0.750,0.480,1.453
142,0.062,0.273,0.223
143,-0.055,0.176,-0.305
144,-0.734,0.625,0.824
145,-0.977,0.945,1.805
146,-0.316,0.934,1.887
147,-0.074,0.805,1.812
148,-1.020,0.543,1.449
149,-1.168,0.273,0.246
150,-0.125,0.203,-0.426
151,0.379,0.473,0.227
152,-0.102,0.812,1.414
153,-1.305,1.047,1.980
154,-0.949,1.129,1.906
155,0.125,0.926,0.531
156,0.312,0.949,-0.492
157,0.434,1.082,-0.070
158,-0.105,1.332,1.465
159,-0.777,1.527,1.992
160,-0.301,1.211,1.715
161,-0.008,0.445,-0.512
162,0.371,0.207,-0.918
163,0.461,0.621,1.324
164,-0.805,1.109,1.992
165,-1.500,0.746,1.324
166,-1.125,0.121,-0.363
167,-0.430,0.207,0.367
168,0.637,0.535,1.867
169,-0.262,0.777,1.223
170,-1.859,0.754,0.188
171,-1.926,0.602,0.727
172,0.156,0.484,1.457
173,1.922,0.285,1.645
174,-0.125,0.273,0.883
175,-1.992,0.371,-0.043
176,-1.250,0.691,0.180
177,1.562,0.840,1.035
178,1.328,0.824,1.922
179,-1.656,0.820,1.844
180,-1.855,0.891,0.078
181,0.469,0.906,-0.566
182,1.348,1.281,1.477
183,-0.859,1.285,1.984
184,-1.957,0.551,0.219
185,-0.465,0.660,0.074
186,0.988,1.164,1.441
187,-0.234,1.070,1.195
188,-1.215,0.426,0.465
189,-0.383,0.242,0.207
190,1.031,0.547,0.832
191,0.176,0.891,1.902
192,-1.496,0.617,1.281
193,-0.336,-0.012,0.066
194,0.664,-0.043,0.824
195,0.270,0.086,1.324
196,-0.574,-0.043,0.973
197,-0.195,-0.527,1.148
198,1.117,-0.914,0.777
199,0.746,-1.043,0.898
200,-1.090,-0.730,1.578
201,-0.242,-0.816,1.004
202,1.238,-0.852,1.480
203,1.539,-1.020,1.160
204,0.121,-0.988,1.113
205,-1.270,-0.703,1.273
206,0.184,-0.512,1.043
207,1.781,-0.176,0.949
208,0.559,0.117,0.859
209,-1.262,0.461,1.234
210,-1.422,0.781,1.508
211,0.707,0.551,0.621
212,1.551,0.320,0.438
213,-0.105,0.449,0.848
214,-1.453,0.328,0.695
215,-0.977,0.359,1.109
216,1.016,0.148,0.160
217,1.070,0.371,0.395
218,-0.855,0.652,1.504
219,-1.676,0.793,1.164
220,-0.566,0.469,0.105
221,0.773,0.480,0.613
222,0.461,0.637,1.723
223,-0.473,0.711,1.992
224,-0.684,0.465,1.562
225,-0.688,0.113,0.938
226,-0.145,-0.414,0.266
227,0.410,-0.617,1.051
228,0.355,-0.656,1.430
229,-0.426,-0.754,1.043
230,-0.676,-0.859,0.414
231,0.359,-1.012,0.148
232,0.953,-0.988,1.066
233,0.375,-0.871,1.496
234,-0.473,-0.789,0.949
235,-0.199,-0.598,0.879
236,0.941,-0.461,1.062
237,1.098,-0.180,0.766
238,-0.555,0.145,0.969
239,-1.309,0.488,1.594
240,0.027,0.434,1.242
241,0.996,0.418,0.633
242,0.500,0.453,1.629
243,-0.625,0.383,1.523
244,-0.348,0.184,0.012
245,0.848,0.422,0.887
246,0.059,0.645,1.328
247,-0.566,0.465,1.215
248,-0.148,0.238,0.586
249,0.312,0.461,0.367
250,0.797,0.734,1.008
251,-0.234,0.742,0.855
252,-0.922,0.441,0.758
253,-0.055,0.207,1.195
254,0.422,-0.035,0.852
255,0.105,-0.098,1.066
256,-0.422,-0.188,1.281
257,-0.402,-0.266,1.164
258,0.223,-0.473,0.766
259,-0.562,-0.492,0.535
260,-0.852,-0.531,0.836
261,0.004,-0.109,1.770
262,0.480,-0.184,1.734
263,-0.227,-0.422,0.996
264,-0.992,-0.594,0.051
265,-0.160,-0.453,0.547
266,0.656,-0.051,1.477
267,0.414,0.098,1.891
268,0.195,-0.367,0.355
269,0.055,-0.512,-0.062
270,0.266,-0.125,1.520
271,0.492,0.062,1.637
272,0.098,0.105,0.305
273,0.027,0.254,0.340
274,0.148,0.602,1.672
275,0.102,0.414,1.125
276,0.215,0.168,0.539
277,-0.258,0.547,1.414
278,-0.250,0.820,1.969
279,0.023,0.508,0.574
280,-0.414,0.180,-0.180
281,-0.660,0.270,1.246
282,-0.062,0.305,1.734
283,0.734,0.109,0.812
284,0.590,0.148,0.625
285,-0.598,0.191,1.113
286,-0.777,-0.074,0.664
287,0.172,-0.297,0.367
288,0.387,-0.172,1.500
289,-0.059,-0.184,1.492
290,0.090,-0.105,0.863
291,0.066,-0.176,0.660
292,-0.191,-0.238,0.863
293,-0.301,-0.496,0.637
294,-0.539,-0.609,1.035
295,-0.277,-0.250,1.961
296,0.457,-0.336,1.207
297,-0.027,-0.465,0.227
298,-0.520,-0.535,-0.094
299,-0.086,-0.293,0.762
300,-0.035,0.012,1.820
301,0.297,0.102,1.770
302,0.359,-0.184,0.504
303,-0.133,-0.016,0.207
304,-0.004,0.480,1.598
305,0.430,0.641,1.680
306,0.320,0.070,-0.062
307,-0.195,-0.121,-0.129
308,-0.488,0.277,1.445
309,0.082,0.531,1.980
310,0.500,0.406,1.598
311,0.047,0.062,0.406
312,-0.254,-0.180,-0.344
313,0.008,0.262,0.871
314,0.488,0.570,1.980
315,-0.070,0.301,1.379
316,-0.957,0.027,0.191
317,-0.227,0.008,0.512
318,0.645,0.113,1.582
319,0.449,0.070,1.820
320,-0.203,-0.227,0.547
321,-0.434,-0.547,-0.043
322,-0.477,-0.551,0.590
323,-0.629,-0.324,1.023
324,-0.258,-0.113,1.141
325,0.473,0.047,1.887
326,0.590,-0.148,1.293
327,-0.395,-0.254,0.184
328,-0.996,0.012,0.395
329,0.188,0.281,1.488
330,0.957,0.125,1.887
331,-0.176,-0.430,0.375
332,-0.797,-0.488,0.070
333,0.195,-0.215,1.191
334,1.453,-0.035,1.488
335,0.691,-0.129,0.887
336,-1.301,-0.082,0.816
337,-0.641,0.012,0.953
338,0.996,0.180,1.129
339,0.375,0.328,1.293
340,-0.938,0.359,0.520
341,-0.539,0.387,0.430
342,0.703,0.469,1.641
343,0.797,0.355,1.734
344,-0.945,0.098,0.527
345,-1.234,0.145,0.809
346,0.691,0.277,1.371
347,1.484,0.070,0.637
348,0.246,-0.137,0.590
349,-1.266,0.020,1.199
350,-0.457,0.180,1.273
351,1.215,-0.070,0.605
352,0.328,-0.262,0.109
353,-1.359,0.020,0.934
354,-0.859,0.223,1.965
355,0.480,0.078,1.535
356,0.609,-0.227,-0.270
357,-0.516,-0.188,-0.184
358,-0.945,0.164,1.773
359,0.348,0.129,1.957
360,1.164,-0.406,0.504
361,0.242,-0.488,-0.457
362,-0.938,-0.191,0.809
363,-0.566,0.004,1.664
364,0.750,-0.172,1.105
365,0.805,-0.078,1.652
366,-0.367,-0.098,1.125
367,-0.746,-0.309,-0.348
368,-0.023,-0.250,-0.133
369,0.320,0.258,1.738
370,0.012,0.551,1.984
371,-0.172,0.074,0.684
372,-0.246,-0.277,-0.594
373,0.133,0.004,0.016
374,0.688,0.637,1.793
375,0.242,0.750,1.992
376,-0.664,0.086,0.562
377,-0.422,-0.145,-0.262
378,0.750,0.074,0.676
379,0.742,0.473,1.719
380,-0.297,0.543,1.457
381,-0.777,0.090,0.500
382,-0.047,-0.125,0.719
383,0.410,-0.203,1.105
384,-0.203,-0.184,0.855
385,-0.859,0.004,0.820
386,-0.328,0.090,1.328
387,0.512,-0.090,1.383
388,0.246,-0.320,0.691
389,-0.598,-0.281,0.973
390,-0.664,-0.039,1.348
391,0.383,0.070,1.000
392,0.723,-0.035,0.562
393,0.035,-0.172,0.941
394,-0.492,-0.266,1.117
395,-0.062,-0.297,0.590
396,0.465,-0.094,0.898
397,0.066,0.016,1.402
398,-0.527,-0.109,1.051
399,-0.449,-0.254,0.016
400,0.070,-0.062,0.402
401,0.629,0.227,1.840
402,0.219,0.109,1.664
403,-0.570,-0.035,0.535
404,-0.531,0.000,0.672
405,0.223,0.195,1.512
406,0.777,0.203,1.109
407,0.117,0.230,0.809
408,-0.445,0.176,1.066
409,0.227,0.148,1.250
410,0.598,0.051,1.113
411,-0.070,0.066,1.211
412,-0.664,0.078,0.656
413,-0.336,0.078,0.453
414,0.785,0.051,0.992
415,0.711,-0.062,1.176
416,-0.480,-0.148,0.844
417,-1.055,-0.180,0.191
418,-0.082,0.012,0.953
419,0.719,0.082,1.480
420,0.000,-0.070,1.211
421,-0.406,-0.113,0.703
422,0.332,-0.121,1.191
423,0.238,0.141,1.664
424,-0.520,0.098,1.211
425,-0.855,-0.109,0.715
426,-0.258,-0.199,1.113
427,0.648,-0.277,1.109
428,0.270,-0.227,0.430
429,-0.566,-0.137,0.586
430,-0.523,-0.074,1.328
431,0.082,-0.164,1.004
432,0.223,-0.176,0.426
433,-0.184,0.004,0.922
434,-0.184,0.000,0.840
435,0.371,0.051,0.637
436,0.582,0.234,1.547
437,0.199,0.332,1.684
438,-0.043,0.078,0.559
439,-0.145,0.012,0.020
440,0.047,0.250,1.219
441,0.152,0.406,1.992
442,-0.230,0.125,1.516
443,-0.086,-0.195,0.570
444,0.305,-0.250,-0.102
445,0.031,-0.059,0.383
446,-0.344,0.242,1.602
447,-0.340,0.230,1.660
448,-0.062,-0.137,1.043
449,0.105,-0.289,0.551
450,-0.129,-0.148,0.094
451,0.148,0.145,0.668
452,0.273,0.457,1.910
453,-0.281,0.133,1.457
454,-0.223,-0.355,-0.102
455,0.094,-0.215,0.160
456,0.023,0.215,1.680
457,0.297,0.363,1.902
458,0.402,-0.039,0.391
459,0.059,-0.211,0.277
460,-0.348,-0.195,1.480
461,-0.797,-0.102,0.848
462,-0.301,-0.121,0.527
463,-0.016,-0.047,1.672
464,0.090,-0.031,1.238
465,0.219,-0.168,0.074
466,-0.168,0.062,0.586
467,-0.027,0.348,1.855
468,-0.309,0.230,1.062
469,-0.430,-0.047,0.488
470,0.359,-0.156,1.090
471,0.395,-0.086,1.309
472,0.047,-0.020,1.301
473,0.184,-0.164,0.785
474,0.250,-0.258,0.070
475,-0.176,-0.047,0.965
476,-0.254,0.152,1.926
477,0.168,0.062,1.422
478,0.266,-0.039,0.551
479,-0.203,0.141,0.047
480,-0.141,0.324,0.918
481,0.305,0.484,1.898
482,0.008,0.219,1.250
483,-0.375,-0.199,0.406
484,-0.297,-0.188,0.574
485,0.180,0.055,1.121
486,0.223,0.141,1.066
487,-0.176,0.180,1.266
488,-0.113,0.004,1.691
489,0.152,-0.316,0.793
490,0.035,-0.324,0.102
491,-0.367,0.000,0.590
492,-0.676,0.379,1.957
493,0.043,0.074,1.371
494,0.625,-0.348,-0.238
495,-0.152,-0.164,0.762
496,-0.500,0.109,1.715
497,-0.184,0.145,0.930
498,0.098,0.137,0.727
499,0.078,0.039,1.312
500,-0.172,-0.238,0.641
501,-0.195,-0.406,0.219
502,0.172,-0.078,1.449
503,-0.105,0.141,1.887
504,-0.270,-0.176,0.680
505,-0.098,-0.348,-0.371
506,-0.094,-0.227,0.352
507,-0.062,0.059,1.625
508,0.148,0.156,1.309
509,0.113,0.219,1.289
510,0.160,0.238,0.922
511,0.281,0.168,0.273
512,0.105,0.363,1.160
513,-0.215,0.562,1.910
514,-0.059,0.348,1.402
515,0.441,0.164,0.613
516,0.496,0.102,0.809
517,-0.047,0.105,1.203
518,-0.312,0.027,1.004
519,-0.098,-0.094,1.125
520,0.117,-0.207,0.793
521,-0.043,-0.191,0.438
522,-0.148,0.109,1.059
523,0.098,0.195,1.414
524,0.281,-0.023,0.734
525,-0.129,-0.039,0.465
526,-0.297,0.117,1.074
527,-0.039,0.266,1.500
528,-0.051,0.000,0.676
529,-0.105,-0.113,0.633
530,-0.344,-0.082,1.680
531,-0.141,-0.227,1.578
532,0.203,-0.438,0.301
533,-0.125,-0.277,0.418
534,-0.258,-0.152,1.266
535,-0.160,-0.082,1.156
536,-0.047,-0.195,0.617
537,-0.035,-0.141,0.934
538,0.086,-0.148,1.238
539,-0.047,-0.012,0.871
540,0.090,0.211,1.145
541,-0.066,0.273,1.047
542,-0.219,0.152,0.766
543,0.016,0.098,0.832
544,-0.031,0.164,0.535
545,0.094,0.172,1.383
