Sample,X,Y,Z
0,-0.016,-0.074,1.094
1,-0.023,0.027,0.984
2,-0.023,0.023,0.973
3,-0.016,0.012,0.984
4,-0.023,0.012,0.988
5,-0.023,0.008,0.988
6,-0.023,0.020,0.988
7,-0.027,0.012,0.984
8,-0.031,0.016,0.984
9,-0.027,0.020,0.988
10,-0.027,0.008,0.984
11,-0.020,0.020,0.984
12,-0.020,0.016,0.977
13,-0.027,0.016,0.980
14,-0.031,0.020,0.984
15,-0.023,0.004,0.977
16,-0.023,0.004,0.984
17,-0.031,0.012,0.980
18,-0.027,0.012,0.988
19,-0.020,0.023,0.984
20,-0.004,0.051,0.984
21,-0.027,0.020,0.980
22,-0.023,0.012,0.984
23,-0.023,0.016,0.980
24,-0.027,0.012,0.980
25,-0.023,0.016,0.984
26,-0.023,0.012,0.984
27,-0.020,0.016,0.980
28,-0.020,0.016,0.980
29,-0.020,0.023,0.988
30,-0.027,0.008,0.984
31,-0.031,0.020,0.980
32,-0.023,0.020,0.984
33,-0.027,0.027,0.984
34,-0.023,0.023,0.988
35,-0.020,0.020,0.984
36,-0.020,0.008,0.977
37,-0.016,0.004,0.984
38,-0.023,0.016,0.980
39,-0.031,0.012,0.984
40,-0.027,0.016,0.969
41,-0.016,0.016,0.984
42,-0.027,0.023,0.992
43,-0.027,0.020,0.988
44,-0.023,0.008,0.988
45,-0.020,0.016,0.984
46,-0.027,0.004,0.980
47,-0.023,0.008,0.973
48,-0.027,0.020,0.977
49,-0.023,0.012,0.992
50,-0.023,0.008,0.980
51,-0.020,0.012,0.980
52,-0.035,0.016,0.988
53,-0.031,0.020,0.992
54,-0.027,0.016,0.984
55,-0.027,0.012,0.980
56,-0.027,0.020,0.984
57,-0.023,0.012,0.988
58,-0.031,0.020,0.984
59,-0.023,0.016,0.984
60,-0.047,0.012,0.977
61,-0.023,0.008,0.977
62,-0.031,0.008,0.988
63,-0.023,0.016,0.973
64,-0.023,0.020,0.984
65,-0.023,0.012,0.988
66,-0.027,0.023,0.984
67,-0.031,0.016,0.988
68,-0.027,0.008,0.977
69,-0.023,0.012,0.984
70,-0.020,0.008,0.984
71,-0.020,0.012,0.977
72,-0.027,0.016,0.977
73,-0.020,0.008,0.977
74,-0.031,0.004,0.980
75,-0.027,0.020,0.980
76,-0.023,0.023,0.980
77,-0.031,0.016,0.984
78,-0.027,0.020,0.984
79,-0.023,0.020,0.988
80,-0.031,-0.020,0.984
81,-0.016,0.012,0.984
82,-0.031,0.016,0.980
83,-0.031,0.012,0.980
84,-0.020,0.008,0.984
85,-0.023,0.012,0.980
86,-0.023,0.008,0.977
87,-0.027,0.004,0.984
88,-0.027,0.012,0.980
89,-0.023,0.016,0.980
90,-0.031,0.012,1.000
91,-0.105,-0.008,1.137
92,-0.352,-0.102,1.555
93,-0.836,-0.320,1.777
94,-1.320,-0.676,1.078
95,-1.316,-0.844,0.457
96,-1.070,-0.820,0.672
97,-1.312,-0.805,1.297
98,-1.875,-1.047,0.898
99,-1.875,-1.305,0.152
100,-1.180,-1.145,0.344
101,-0.629,-0.801,0.352
102,-0.867,-0.590,0.133
103,-1.207,-0.477,0.219
104,-0.770,-0.457,0.273
105,0.027,-0.234,0.684
106,0.254,0.129,1.398
107,-0.094,0.453,1.887
108,-0.328,0.578,1.988
109,-0.375,0.512,1.676
110,-0.273,0.227,1.410
111,-0.320,0.023,1.703
112,-0.535,-0.285,1.707
113,-0.461,-0.543,1.520
114,-0.785,-0.695,1.125
115,-0.988,-0.625,0.426
116,-0.668,-0.504,0.219
117,-0.367,-0.434,0.422
118,-0.477,-0.543,0.527
119,-0.910,-0.648,0.500
120,-1.312,-0.668,0.703
121,-1.035,-0.496,0.332
122,-0.449,-0.375,0.426
123,-0.426,-0.340,1.250
124,-0.926,-0.418,1.965
125,-1.746,-0.715,1.691
126,-1.430,-0.781,0.723
127,-0.203,-0.484,0.484
128,-0.254,-0.152,0.832
129,-1.133,-0.098,0.965
130,-1.418,-0.457,0.855
131,-0.941,-0.883,0.141
132,-0.301,-0.883,0.199
133,-0.309,-0.520,0.402
134,-0.570,-0.238,1.000
135,-0.645,-0.203,1.816
136,-0.930,-0.469,1.203
137,-1.371,-0.465,0.320
138,-0.816,-0.012,1.121
139,0.199,0.449,1.992
140,0.059,0.008,1.551
141,-0.609,-0.469,0.512
142,-1.086,-0.547,0.156
143,-0.051,-0.305,1.629
144,-0.074,-0.250,1.980
145,-1.340,-0.648,1.262
146,-1.289,-0.715,0.793
147,-0.398,-0.391,0.445
148,-0.223,0.074,-0.031
149,-0.594,0.180,0.348
150,-1.574,-0.156,1.070
151,-1.516,-0.770,-0.234
152,-0.562,-0.840,-0.113
153,-0.719,-0.391,1.793
154,-1.449,-0.301,1.992
155,-1.184,-0.797,1.105
156,-1.074,-1.066,-0.383
157,-0.387,-0.871,-0.723
158,-0.523,-0.445,0.523
159,-1.219,-0.160,1.992
160,-1.102,-0.754,1.582
161,-0.602,-0.992,0.316
162,-0.480,-0.500,1.109
163,-0.277,0.227,1.770
164,-0.562,0.312,1.445
165,0.078,-0.176,0.246
166,0.184,-0.340,-0.383
167,-0.074,-0.379,0.215
168,-0.570,0.039,1.992
169,-1.160,-0.105,1.992
170,0.020,-0.441,1.527
171,0.305,-0.492,0.703
172,-0.504,-0.297,0.035
173,-0.949,-0.441,-0.199
174,-1.438,-0.203,1.531
175,-1.855,-0.641,1.363
176,-1.035,-0.727,0.809
177,-0.660,-0.547,1.543
178,-1.477,-0.273,1.879
179,-1.422,-0.250,1.074
180,-0.453,-0.473,-0.477
181,-0.715,-0.402,-1.211
182,-0.457,-0.211,0.184
183,-1.281,-0.234,1.992
184,-1.039,-0.734,1.430
185,0.395,-1.125,0.578
186,0.363,-0.555,0.586
187,0.227,-0.184,0.711
188,-1.410,0.023,1.801
189,-1.797,-0.281,0.578
190,0.266,-0.742,0.918
