Sample,X,Y,Z
0,-0.023,-0.039,1.105
1,-0.020,0.000,0.973
2,-0.020,0.012,0.984
3,-0.023,0.000,0.980
4,-0.023,0.004,0.973
5,-0.023,0.012,0.984
6,-0.020,-0.004,0.973
7,-0.020,0.004,0.977
8,-0.020,0.012,0.984
9,-0.020,0.023,0.996
10,-0.016,0.004,0.977
11,-0.016,0.012,0.988
12,-0.016,0.008,0.984
13,-0.020,0.012,0.988
14,-0.016,-0.004,0.980
15,-0.020,0.004,0.973
16,-0.023,0.004,0.988
17,-0.023,0.020,0.992
18,-0.023,0.004,0.977
19,-0.020,0.012,0.977
20,-0.047,0.023,0.992
21,-0.020,0.000,0.984
22,-0.016,0.000,0.980
23,-0.016,0.000,0.973
24,-0.020,0.012,0.977
25,-0.023,0.004,0.992
26,-0.023,0.004,0.980
27,-0.016,-0.008,0.957
28,-0.023,0.004,0.988
29,-0.023,0.016,1.004
30,-0.020,0.012,0.973
31,-0.020,0.008,0.965
32,-0.023,0.023,1.004
33,-0.020,0.012,0.996
34,-0.020,0.004,0.957
35,-0.020,0.020,0.984
36,-0.020,0.008,0.996
37,-0.023,0.000,0.977
38,-0.012,0.000,0.973
39,-0.016,0.016,0.980
40,-0.035,0.047,0.984
41,-0.027,0.012,0.980
42,-0.016,0.008,0.984
43,-0.020,0.012,0.988
44,-0.023,0.008,0.984
45,-0.023,-0.004,0.980
46,-0.020,0.004,0.984
47,-0.020,0.004,0.984
48,-0.016,0.000,0.980
49,-0.016,-0.004,0.977
50,-0.023,0.008,0.980
51,-0.023,0.004,0.988
52,-0.020,0.004,0.980
53,-0.020,0.012,0.984
54,-0.020,0.016,0.992
55,-0.023,0.004,0.980
56,-0.020,0.012,0.980
57,-0.012,0.004,0.980
58,-0.020,0.008,0.988
59,-0.012,0.000,0.980
60,-0.020,0.004,0.984
61,-0.016,0.012,0.984
62,-0.023,0.008,0.988
63,-0.016,0.008,0.980
64,-0.020,0.012,0.984
65,-0.023,0.016,0.988
66,-0.027,0.012,0.980
67,-0.016,0.008,0.977
68,-0.023,0.008,0.980
69,-0.023,0.004,0.984
70,-0.016,0.000,0.980
71,-0.023,0.004,0.984
72,-0.012,0.004,0.980
73,-0.020,0.012,0.977
74,-0.020,0.012,0.980
75,-0.008,0.016,0.992
76,-0.020,0.012,0.980
77,-0.012,0.012,0.992
78,-0.016,0.008,0.980
79,-0.016,0.004,0.988
80,-0.031,0.004,0.980
81,-0.020,0.004,0.980
82,-0.016,-0.004,0.984
83,-0.027,0.012,0.984
84,-0.016,0.004,0.980
85,-0.023,0.008,0.980
86,-0.020,0.016,0.988
87,-0.023,0.008,0.984
88,-0.020,0.008,0.988
89,-0.012,0.008,0.980
90,-0.020,0.012,0.977
91,-0.078,0.027,1.043
92,-0.391,0.016,1.250
93,-1.016,-0.027,1.488
94,-1.477,-0.090,1.559
95,-1.219,-0.102,1.223
96,-0.816,0.039,0.836
97,-1.207,0.293,0.930
98,-1.926,0.531,1.574
99,-1.844,0.512,1.629
100,-0.781,0.254,0.207
101,0.062,0.078,-1.184
102,-0.340,0.355,-0.453
103,-1.184,0.809,1.641
104,-1.348,0.777,1.746
105,-0.305,0.191,-0.441
106,0.434,0.066,-1.199
107,-0.230,0.566,0.961
108,-1.211,0.855,1.992
109,-1.277,0.449,1.781
110,-1.023,-0.070,0.535
111,-0.859,-0.098,-0.219
112,-1.129,0.352,1.047
113,-1.547,0.609,1.992
114,-1.566,0.363,1.512
115,-1.277,0.109,0.469
116,-1.078,0.184,0.516
117,-0.805,0.141,1.082
118,-0.633,-0.238,0.914
119,-0.203,-0.406,0.848
120,0.367,-0.258,1.184
121,0.262,0.043,1.273
122,0.023,0.254,1.289
123,-0.012,0.230,1.305
124,0.199,0.070,1.219
125,-0.102,0.035,1.043
126,-0.812,0.082,0.738
127,-0.766,0.277,0.812
128,-0.434,0.430,1.441
129,-1.602,0.133,0.938
130,-1.945,-0.238,0.047
131,-1.426,-0.266,0.352
132,-1.082,0.105,0.938
133,-1.172,0.574,1.262
134,-1.672,0.621,1.309
135,-1.992,0.176,0.523
136,-1.438,0.086,-0.340
137,-0.352,0.441,0.223
138,0.016,0.906,1.648
139,-0.434,0.785,1.773
140,-1.426,0.188,-0.238
141,-1.113,0.270,-0.781
142,0.367,0.977,1.578
143,0.203,1.363,1.992
144,-1.113,0.836,1.457
145,-1.871,0.195,0.008
146,-1.328,0.176,0.406
147,-0.375,0.379,1.129
148,-0.203,0.422,1.004
149,-0.852,0.082,0.750
150,-1.152,-0.109,1.387
151,-0.742,-0.207,1.598
152,-0.562,-0.207,0.668
153,-0.910,-0.035,0.531
154,-0.660,-0.125,0.754
155,0.336,-0.383,0.156
156,-0.305,-0.309,0.984
157,-1.805,0.215,1.992
158,-1.652,0.176,1.254
159,-0.148,-0.086,-0.039
160,0.320,-0.145,0.191
161,-0.605,-0.090,0.672
162,-1.441,0.082,1.027
163,-0.621,0.254,1.676
164,-0.613,0.578,1.988
165,-1.656,0.594,0.672
166,-0.816,0.445,-0.562
167,0.539,0.191,-0.555
168,0.152,0.160,1.238
169,-1.406,0.703,1.992
170,-1.992,0.809,1.387
171,-0.957,0.926,1.270
172,-0.227,0.316,-0.379
173,-0.289,0.066,-0.520
174,-0.293,0.199,1.812
175,-1.570,0.520,1.949
