Sample,X,Y,Z
0,0.070,0.086,1.031
1,0.125,-0.012,0.996
2,0.059,-0.020,0.992
3,0.043,-0.020,1.004
4,0.051,-0.016,1.012
5,0.047,-0.012,0.996
6,0.059,-0.020,1.000
7,0.062,-0.027,1.000
8,0.059,-0.016,1.000
9,0.055,-0.016,1.000
10,0.055,-0.012,1.000
11,0.055,-0.020,1.000
12,0.059,-0.020,1.008
13,0.055,-0.016,1.008
14,0.059,-0.020,1.004
15,0.055,-0.012,1.004
16,0.062,-0.016,1.012
17,0.055,-0.020,1.008
18,0.051,-0.016,1.008
19,0.055,-0.016,1.008
20,0.039,-0.008,0.961
21,0.047,-0.020,1.004
22,0.059,-0.020,0.996
23,0.062,-0.016,1.000
24,0.055,-0.016,1.012
25,0.062,-0.020,1.008
26,0.062,-0.012,0.992
27,0.059,-0.012,0.996
28,0.055,-0.020,1.008
29,0.051,-0.016,1.004
30,0.051,-0.008,0.992
31,0.047,-0.016,1.008
32,0.055,-0.020,1.000
33,0.062,-0.016,1.012
34,0.059,-0.012,1.000
35,0.055,-0.020,1.004
36,0.051,-0.020,1.004
37,0.047,-0.016,0.996
38,0.051,-0.016,0.996
39,0.055,-0.020,1.020
40,0.027,-0.012,0.988
41,0.055,-0.023,1.016
42,0.055,-0.020,1.000
43,0.062,-0.016,1.008
44,0.059,-0.020,1.012
45,0.062,-0.016,0.996
46,0.059,-0.016,1.000
47,0.059,-0.012,1.000
48,0.059,-0.016,1.008
49,0.043,-0.012,1.008
50,0.051,-0.012,1.004
51,0.066,-0.016,1.012
52,0.059,-0.016,1.004
53,0.059,-0.020,0.996
54,0.062,-0.023,1.000
55,0.055,-0.012,1.000
56,0.055,-0.020,1.008
57,0.047,-0.020,1.008
58,0.047,-0.016,1.000
59,0.059,-0.012,1.004
60,0.043,0.000,0.992
61,0.051,-0.012,1.000
62,0.062,-0.016,0.992
63,0.059,-0.016,1.000
64,0.059,-0.020,1.008
65,0.059,-0.020,0.992
66,0.051,-0.020,0.996
67,0.051,-0.016,1.012
68,0.059,-0.016,1.000
69,0.055,-0.016,1.000
70,0.062,-0.020,1.008
71,0.062,-0.012,1.000
72,0.055,-0.016,1.000
73,0.059,-0.012,1.012
74,0.055,-0.020,1.016
75,0.059,-0.016,0.996
76,0.051,-0.020,1.004
77,0.055,-0.012,1.000
78,0.059,-0.012,1.000
79,0.062,-0.016,1.004
80,0.023,-0.008,1.000
81,0.051,-0.020,1.000
82,0.059,-0.020,1.004
83,0.055,-0.016,0.992
84,0.059,-0.020,1.004
85,0.055,-0.016,1.004
86,0.051,-0.012,1.004
87,0.051,-0.016,1.008
88,0.055,-0.012,1.012
89,0.051,-0.016,0.996
90,0.066,-0.012,1.008
91,0.062,-0.012,0.992
92,0.051,-0.016,0.992
93,0.051,-0.020,1.008
94,0.059,-0.020,0.996
95,0.070,0.070,1.020
96,0.055,0.359,1.250
97,0.031,0.652,1.629
98,0.012,0.793,1.629
99,-0.023,0.684,1.012
100,0.000,0.000,0.000
101,-0.016,0.000,0.000
102,0.000,0.797,0.289
103,0.508,0.836,0.609
104,-1.406,1.848,0.012
105,0.000,0.008,-2.000
106,0.004,0.000,-0.023
107,0.789,0.977,-0.035
108,0.836,1.348,-0.016
109,0.875,1.426,-0.020
110,0.758,1.215,0.004
111,0.754,0.672,0.062
112,0.738,0.570,0.066
113,0.707,0.828,0.121
114,0.523,0.695,0.027
115,0.426,0.355,0.082
116,0.461,0.625,0.176
117,0.621,0.773,0.160
118,0.512,0.812,0.227
119,0.227,0.406,0.531
120,0.191,0.641,0.621
121,0.117,0.734,1.363
122,0.027,0.855,1.578
123,-0.133,0.707,1.195
124,-0.090,0.656,0.383
125,-0.016,0.469,1.098
126,0.172,0.508,1.281
127,0.281,0.715,1.383
128,0.164,0.285,1.289
129,0.082,0.148,0.770
130,0.051,0.207,1.020
131,0.016,0.570,0.906
132,-0.176,0.410,1.105
133,-0.141,0.125,0.648
134,-0.012,-0.215,1.266
135,-0.004,0.203,1.270
136,0.027,0.641,1.336
137,0.035,0.410,1.043
138,-0.070,0.477,0.434
139,0.074,0.336,1.043
140,0.074,0.352,1.574
141,-0.039,0.625,1.434
142,-0.098,0.805,0.898
143,-0.203,0.555,0.832
144,-0.047,0.500,1.160
145,0.098,0.543,1.277
146,0.160,0.781,0.910
147,0.324,0.602,0.875
148,0.254,0.387,0.844
149,0.000,0.539,0.598
150,-0.145,0.609,0.848
151,-0.043,0.711,0.836
152,0.180,0.707,0.930
153,0.348,0.328,0.809
154,0.164,0.406,0.422
155,0.203,0.809,0.523
156,0.184,1.207,0.961
157,0.105,0.836,1.734
158,0.082,0.281,0.910
159,-0.125,0.227,0.859
160,-0.102,0.684,0.773
161,-0.035,0.852,1.598
162,0.051,0.398,1.566
163,0.316,-0.137,0.582
164,0.332,0.090,0.516
165,0.078,0.527,1.629
166,0.082,0.660,1.801
167,-0.230,0.270,0.996
168,-0.246,-0.086,0.219
169,0.039,0.176,0.668
170,0.066,0.586,1.398
171,0.070,0.875,0.961
172,-0.066,0.293,0.977
173,-0.082,0.453,0.633
174,0.000,0.367,1.582
175,-0.004,0.578,1.641
176,-0.168,0.527,1.398
177,-0.160,0.434,0.875
178,0.273,0.312,1.469
179,0.090,0.273,1.039
180,0.066,0.527,1.020
181,0.137,0.594,0.613
182,0.207,0.484,0.742
183,-0.082,0.523,0.930
184,-0.039,0.574,0.633
185,0.020,0.598,0.543
186,0.402,0.488,0.816
187,0.211,0.520,1.512
188,-0.184,0.559,1.312
189,-0.312,0.520,0.871
190,-0.090,0.648,0.270
191,0.207,0.898,0.500
192,0.484,0.785,1.262
193,-0.121,0.629,1.520
194,0.133,0.375,0.984
195,0.219,0.633,0.348
196,-0.148,0.750,1.477
197,0.406,0.367,1.660
198,-0.031,0.418,0.910
199,-0.215,0.449,1.016
200,0.258,0.480,0.086
201,0.039,0.629,0.891
202,0.297,0.125,1.648
203,0.047,0.418,0.898
204,-0.148,0.027,1.805
205,0.098,0.684,1.113
206,-0.059,0.547,1.055
207,-0.621,0.848,-0.027
208,0.008,0.215,0.984
209,0.117,0.461,0.316
210,0.191,-0.035,1.855
211,0.203,0.422,1.359
212,-0.004,0.980,1.402
213,0.012,0.449,1.152
214,0.008,0.336,-0.562
215,-0.020,0.605,0.902
216,0.852,0.430,1.184
217,-0.344,0.395,1.438
218,0.027,0.422,1.992
219,0.031,0.020,0.816
220,-0.539,0.727,-0.102
221,-0.141,0.391,0.930
222,0.094,0.484,-0.199
223,0.125,0.883,0.715
224,0.414,0.262,1.965
225,0.176,0.672,1.742
226,-0.414,0.594,1.820
227,0.309,0.293,-0.543
228,0.262,1.012,-1.789
229,-0.324,0.668,1.254
230,0.402,0.297,1.992
231,-0.246,0.285,1.949
232,-0.020,0.945,0.488
233,0.230,0.723,-1.516
234,0.258,0.758,-0.113
235,0.469,0.016,1.992
236,-0.332,0.020,1.992
237,0.094,1.062,-0.297
238,-0.121,0.645,-1.152
239,0.156,0.246,1.305
240,0.070,-0.020,1.871
241,-0.449,0.559,1.309
242,0.203,0.477,-0.445
243,-0.102,0.660,0.871
244,0.430,0.070,1.992
245,0.141,0.660,0.957
246,0.031,0.523,0.574
247,-0.363,0.336,-0.250
248,0.422,0.559,1.445
249,-0.039,0.320,1.953
250,-0.113,0.391,0.859
251,0.137,0.590,0.367
252,-0.395,0.512,0.707
253,0.434,0.590,0.941
254,0.531,0.020,1.367
255,-0.477,0.887,0.785
256,0.352,0.199,1.277
257,-0.355,0.406,0.270
258,-0.121,0.680,1.391
259,0.102,0.438,1.137
260,-0.004,0.453,0.121
261,0.199,0.051,1.215
262,0.434,0.285,0.371
263,0.020,0.320,0.938
264,-0.094,0.383,1.414
265,-0.219,0.191,0.988
266,0.465,-0.395,0.258
267,-0.328,-0.191,0.027
268,0.215,-0.098,1.258
269,-0.102,-0.184,1.043
270,0.145,0.129,1.742
271,-0.121,-0.336,1.902
272,0.270,-0.270,-0.094
273,0.488,-0.125,0.418
274,0.477,-0.289,1.461
275,-0.336,0.062,1.457
276,0.098,-0.230,1.992
277,-0.195,-0.398,0.707
278,-0.090,-0.457,0.109
279,0.016,-0.289,0.902
280,-0.152,-0.086,1.508
281,-0.180,0.113,1.895
282,0.062,-0.637,1.391
283,0.910,-0.422,-1.273
284,0.348,-0.164,0.664
285,0.059,-0.078,1.324
286,-0.949,-0.156,1.703
287,-0.066,0.152,0.480
288,0.398,0.090,0.934
289,0.324,-0.141,0.258
290,0.504,0.160,1.242
291,0.113,0.625,1.938
292,-0.801,0.520,0.902
293,-0.109,0.164,-0.262
294,-0.078,0.078,1.082
295,0.461,0.219,1.496
296,-0.102,0.301,1.848
297,-0.152,0.383,0.301
298,-0.309,0.262,0.043
299,0.699,-0.039,0.141
300,0.621,0.191,1.570
301,0.355,-0.004,1.496
302,-0.836,0.254,0.656
303,-0.473,-0.148,0.227
304,0.320,0.223,0.121
305,0.512,-0.074,1.750
306,0.395,-0.137,0.734
307,0.117,0.098,1.488
308,-0.078,-0.168,1.336
309,-0.043,-0.078,1.184
310,-0.082,-0.004,0.359
311,0.117,-0.219,0.871
312,-0.273,-0.027,1.383
313,0.277,-0.531,1.969
314,0.082,-0.086,0.891
315,-0.078,-0.422,0.121
316,-0.129,-0.352,0.516
317,0.473,-0.211,1.922
318,0.102,-0.336,1.281
319,-0.262,-0.223,0.188
320,-0.008,-0.352,0.422
321,0.418,-0.020,1.371
322,0.148,-0.215,1.754
323,0.285,-0.305,0.344
324,-0.625,0.277,0.004
325,0.113,0.121,1.707
326,-0.152,-0.180,1.559
327,-0.051,0.141,0.281
328,-0.098,0.211,0.344
329,0.234,0.195,0.625
330,0.102,0.023,1.973
331,0.254,0.066,0.344
332,0.066,0.469,-0.020
333,0.316,0.059,1.445
334,0.172,0.031,0.973
335,0.129,-0.094,0.434
336,-0.270,0.305,0.574
337,0.184,0.156,1.648
338,0.258,0.109,1.102
339,-0.195,-0.008,0.832
340,-0.117,0.598,0.594
341,-0.027,-0.047,1.902
342,-0.012,0.090,0.930
343,0.227,-0.203,0.715
344,0.418,0.184,0.043
345,0.227,0.039,1.738
346,0.352,-0.289,1.660
347,-0.648,-0.434,0.695
348,-0.203,0.188,-0.070
349,-0.262,-0.266,1.270
350,0.320,0.000,0.934
351,0.402,-0.566,1.449
352,0.535,0.164,-0.453
353,0.398,-0.316,1.441
354,-0.012,-0.711,1.480
355,-0.270,0.043,0.828
356,-0.633,-0.270,0.957
