Sample,X,Y,Z
0,0.000,0.016,1.203
1,-0.008,0.004,0.980
2,-0.004,0.008,0.988
3,-0.012,0.008,0.992
4,-0.020,0.008,0.984
5,-0.020,0.004,0.980
6,-0.008,0.004,0.992
7,-0.020,-0.008,0.977
8,-0.016,0.004,0.969
9,-0.012,0.008,0.980
10,-0.012,0.004,0.988
11,-0.020,0.016,0.996
12,-0.016,0.004,0.984
13,-0.012,0.004,0.980
14,-0.008,0.012,0.988
15,-0.008,0.000,0.984
16,-0.008,0.012,0.984
17,-0.012,0.016,0.984
18,-0.008,0.008,0.984
19,-0.016,0.008,0.980
20,-0.023,0.008,0.988
21,-0.016,0.004,0.992
22,-0.008,-0.004,0.984
23,-0.008,0.008,0.988
24,-0.008,0.004,0.984
25,-0.004,0.008,0.984
26,-0.008,0.008,0.988
27,-0.012,0.008,0.977
28,-0.023,0.012,0.980
29,-0.012,0.008,0.988
30,-0.012,0.008,0.988
31,-0.012,0.008,0.988
32,-0.008,0.008,0.984
33,-0.008,0.008,0.988
34,-0.012,0.004,0.988
35,-0.016,0.012,0.980
36,-0.016,0.004,0.973
37,-0.008,0.012,0.980
38,-0.008,0.008,0.992
39,-0.008,0.008,0.980
40,-0.027,0.012,0.984
41,-0.023,-0.008,0.980
42,-0.012,0.004,0.984
43,-0.012,0.008,0.984
44,-0.016,0.012,0.992
45,-0.012,0.012,0.984
46,-0.004,0.012,0.980
47,-0.016,0.004,0.988
48,-0.016,0.004,0.977
49,-0.020,0.008,0.980
50,-0.004,-0.004,0.988
51,-0.016,0.008,0.984
52,-0.008,0.008,0.988
53,-0.012,0.008,0.980
54,-0.008,0.004,0.980
55,-0.012,0.012,0.984
56,-0.016,0.000,0.977
57,-0.020,0.004,0.977
58,-0.012,0.004,0.988
59,-0.016,0.000,0.988
60,-0.039,0.027,0.996
61,-0.020,-0.004,0.984
62,-0.008,0.000,0.980
63,-0.012,0.000,0.988
64,-0.023,0.000,0.980
65,-0.012,0.004,0.980
66,-0.012,0.000,0.988
67,-0.012,0.016,0.984
68,-0.004,0.012,0.996
69,-0.008,0.008,0.984
70,-0.008,0.008,0.984
71,-0.012,0.012,0.988
72,-0.012,0.000,0.988
73,-0.008,0.004,0.988
