Sample,X,Y,Z
0,0.000,-0.008,0.980
1,-0.020,0.027,0.980
2,-0.020,0.008,0.988
3,-0.027,0.004,0.977
4,-0.020,0.008,0.984
5,-0.027,0.012,0.984
6,-0.020,0.012,0.977
7,-0.023,0.016,0.980
8,-0.031,0.020,0.984
9,-0.027,0.020,0.984
10,-0.023,0.020,0.980
11,-0.020,0.020,0.988
12,-0.027,0.008,0.980
13,-0.023,0.012,0.980
14,-0.020,0.020,0.984
15,-0.027,0.020,0.977
16,-0.016,0.012,0.984
17,-0.023,0.016,0.973
18,-0.020,0.012,0.977
19,-0.016,0.020,0.992
20,-0.020,0.055,0.977
21,-0.020,0.020,0.977
22,-0.020,0.027,0.980
23,-0.012,0.012,0.984
24,-0.020,0.012,0.977
25,-0.023,0.004,0.980
26,-0.023,0.012,0.980
27,-0.023,0.020,0.988
28,-0.020,0.016,0.977
29,-0.023,0.016,0.984
30,-0.031,0.023,0.984
31,-0.031,0.020,0.992
32,-0.027,0.023,0.992
33,-0.016,0.020,0.977
34,-0.023,0.012,0.980
35,-0.020,0.027,0.980
36,-0.020,0.020,0.980
37,-0.020,0.012,0.984
38,-0.020,0.012,0.977
39,-0.020,0.020,0.984
40,-0.016,0.027,0.980
41,-0.023,0.016,0.980
42,-0.020,0.012,0.988
43,-0.020,0.016,0.980
44,-0.020,0.016,0.977
45,-0.016,0.012,0.980
46,-0.023,0.012,0.992
47,-0.023,0.012,0.977
48,-0.023,0.016,0.977
49,-0.016,0.020,0.992
50,-0.027,0.020,0.980
51,-0.020,0.012,0.988
52,-0.023,0.016,0.984
53,-0.027,0.027,0.992
54,-0.027,0.016,0.992
55,-0.027,0.016,0.984
56,-0.023,0.016,0.980
57,-0.027,0.020,0.984
58,-0.020,0.016,0.984
59,-0.020,0.012,0.980
60,-0.020,0.027,0.969
61,-0.016,0.016,0.984
62,-0.016,0.016,0.980
63,-0.023,0.023,0.988
64,-0.027,0.020,0.984
65,-0.020,0.020,0.984
66,-0.016,0.020,0.988
67,-0.027,0.012,0.980
68,-0.023,0.012,0.988
69,-0.023,0.012,0.980
70,-0.031,0.020,0.984
71,-0.023,0.023,0.977
72,-0.023,0.027,0.980
73,-0.027,0.012,0.984
74,-0.023,0.023,0.980
75,-0.031,0.020,0.992
76,-0.023,0.023,0.984
77,-0.020,0.020,0.988
78,-0.020,0.016,0.977
79,-0.023,0.016,0.984
80,0.008,0.008,0.977
81,-0.023,0.016,0.980
82,-0.016,0.012,0.988
83,-0.012,0.008,0.984
84,-0.020,0.020,0.984
85,-0.020,0.020,0.984
86,-0.027,0.027,0.992
87,-0.031,0.020,0.980
88,-0.016,0.008,0.980
89,-0.023,0.023,0.988
90,-0.023,0.023,0.984
91,-0.027,0.027,0.980
92,-0.016,0.020,0.980
93,-0.020,0.020,0.984
94,-0.027,0.020,0.980
95,-0.039,0.020,1.004
96,-0.074,0.008,1.090
97,-0.168,-0.035,1.168
98,-0.266,-0.102,0.945
99,-0.199,-0.121,0.715
100,-0.078,-0.051,0.871
101,-0.180,-0.078,1.160
102,-0.402,-0.148,1.066
103,-0.336,-0.195,0.734
104,-0.047,-0.152,0.586
105,0.008,-0.059,0.836
106,-0.320,-0.035,1.238
107,-0.543,-0.113,1.262
108,-0.391,-0.211,0.984
109,-0.227,-0.199,0.820
110,-0.305,-0.145,0.953
111,-0.406,-0.133,1.090
112,-0.375,-0.242,1.047
113,-0.375,-0.320,0.980
114,-0.500,-0.336,0.832
115,-0.508,-0.277,0.797
116,-0.312,-0.188,0.895
117,-0.227,-0.195,0.855
118,-0.473,-0.281,0.902
119,-0.676,-0.258,0.957
120,-0.410,-0.180,0.840
121,-0.070,-0.078,1.078
122,-0.074,0.082,1.902
123,-0.281,0.059,1.793
124,-0.516,-0.207,0.836
125,-0.383,-0.254,0.523
126,-0.254,-0.250,0.793
127,-0.445,-0.215,1.586
128,-0.910,-0.352,1.676
129,-1.078,-0.594,0.660
130,-0.727,-0.574,0.062
131,-0.570,-0.289,0.484
132,-0.746,-0.098,1.211
133,-0.879,-0.281,1.004
134,-0.738,-0.629,0.047
135,-0.613,-0.637,0.035
136,-0.746,-0.332,1.012
137,-0.898,-0.133,1.383
138,-0.699,-0.336,0.984
139,-0.449,-0.570,0.820
140,-0.480,-0.641,0.539
141,-0.727,-0.531,0.852
142,-0.754,-0.391,1.535
143,-0.852,-0.453,1.188
144,-0.961,-0.590,0.617
145,-0.867,-0.398,1.094
146,-0.629,-0.207,1.176
147,-0.164,-0.066,1.512
148,-0.301,-0.113,1.555
149,-1.047,-0.203,1.074
150,-0.988,-0.133,0.922
151,-0.211,-0.008,0.965
152,0.328,-0.031,0.848
153,0.348,-0.293,1.230
154,-0.504,-0.531,0.945
155,-0.789,-0.750,0.078
156,-0.371,-0.621,0.887
157,-0.871,-0.582,1.051
158,-1.594,-0.699,0.254
159,-1.629,-0.633,0.863
160,-1.172,-0.520,1.816
161,-1.055,-0.625,0.809
162,-1.688,-0.465,0.363
163,-1.465,-0.191,0.527
164,-0.797,-0.125,0.570
165,-0.797,-0.297,0.926
166,-1.043,-0.445,0.641
167,-0.652,-0.594,0.414
168,0.000,-0.312,1.773
169,-0.281,-0.309,1.711
170,-0.824,-0.344,1.164
171,-0.375,-0.371,1.039
172,-0.012,-0.133,1.246
173,-0.164,-0.207,0.789
174,-0.844,-0.250,1.039
175,-0.641,-0.379,0.242
176,0.145,-0.410,0.820
177,-0.695,0.000,1.934
178,-1.613,-0.258,1.617
179,-0.613,-0.367,1.289
180,0.031,-0.535,0.195
181,-0.355,-0.578,0.156
182,-1.434,-0.531,0.309
183,-1.898,-0.609,0.812
184,-0.820,-0.609,0.984
185,0.297,-0.773,0.758
186,-0.582,-0.383,1.973
187,-1.438,-0.605,1.426
188,-1.734,-0.297,1.168
