Sample,X,Y,Z
0,0.059,0.230,1.031
1,0.047,-0.020,1.012
2,0.043,-0.023,1.012
3,0.051,-0.023,1.000
4,0.051,-0.020,1.004
5,0.055,-0.023,1.000
6,0.047,-0.020,1.004
7,0.051,-0.020,1.012
8,0.051,-0.020,1.012
9,0.043,-0.027,1.004
10,0.047,-0.023,1.000
11,0.055,-0.023,1.008
12,0.051,-0.023,1.004
13,0.051,-0.031,1.008
14,0.055,-0.016,1.012
15,0.051,-0.023,1.008
16,0.051,-0.020,1.008
17,0.047,-0.023,1.004
18,0.055,-0.016,1.004
19,0.055,-0.027,1.012
20,0.055,-0.023,1.012
21,0.055,-0.023,1.004
22,0.051,-0.023,1.000
23,0.051,-0.020,1.004
24,0.047,-0.020,1.004
25,0.043,-0.020,1.008
26,0.051,-0.020,0.996
27,0.043,-0.012,1.012
28,0.051,-0.023,1.000
29,0.055,-0.020,1.000
30,0.055,-0.027,1.008
31,0.043,-0.020,1.004
32,0.051,-0.023,1.004
33,0.047,-0.020,1.004
34,0.055,-0.020,1.000
35,0.051,-0.020,1.004
36,0.055,-0.023,1.016
37,0.055,-0.020,1.000
38,0.051,-0.027,0.996
39,0.043,-0.016,1.016
40,0.012,-0.023,1.059
41,0.039,-0.020,1.004
42,0.051,-0.020,0.996
43,0.059,-0.027,1.004
44,0.055,-0.023,1.000
45,0.059,-0.023,1.000
46,0.051,-0.016,1.004
47,0.055,-0.027,1.016
48,0.043,-0.023,1.004
49,0.047,-0.016,1.000
50,0.055,-0.023,1.004
51,0.051,-0.023,1.004
52,0.055,-0.023,1.012
53,0.051,-0.016,1.004
54,0.051,-0.020,0.996
55,0.047,-0.023,1.012
56,0.055,-0.020,1.016
57,0.051,-0.020,1.008
58,0.047,-0.020,1.000
59,0.051,-0.023,1.012
60,0.031,-0.027,1.094
61,0.047,-0.023,1.004
62,0.047,-0.023,1.000
63,0.047,-0.023,1.008
64,0.043,-0.020,1.016
65,0.055,-0.027,1.004
66,0.051,-0.023,1.000
67,0.055,-0.020,1.012
68,0.059,-0.023,1.004
69,0.059,-0.020,0.996
70,0.047,-0.020,1.008
71,0.047,-0.023,1.008
72,0.047,-0.020,1.000
73,0.051,-0.020,1.000
74,0.051,-0.016,1.000
75,0.055,-0.020,1.012
76,0.051,-0.023,1.000
77,0.055,-0.027,1.000
78,0.047,-0.027,1.004
79,0.051,-0.020,1.004
80,0.047,-0.031,1.066
81,0.051,-0.016,1.012
82,0.047,-0.027,1.008
83,0.055,-0.020,1.008
84,0.047,-0.023,1.004
85,0.051,-0.023,1.004
86,0.051,-0.023,1.008
87,0.051,-0.020,1.016
88,0.047,-0.020,1.012
89,0.047,-0.016,1.008
90,0.051,-0.020,1.004
91,0.055,-0.020,1.004
92,0.055,-0.016,1.008
93,0.059,-0.020,1.004
94,0.055,-0.020,1.012
95,0.125,-0.066,1.043
96,0.328,-0.184,1.117
97,0.477,-0.297,1.055
98,0.594,-0.207,0.938
99,0.773,0.027,1.375
100,0.828,0.016,1.688
101,0.805,-0.004,1.074
102,0.723,-0.188,0.688
103,0.953,-0.168,1.047
104,1.129,-0.047,1.809
105,0.891,0.164,1.312
106,0.582,0.215,0.391
107,0.688,0.016,0.055
108,0.922,-0.227,0.570
109,0.898,-0.094,1.059
110,0.562,0.211,0.711
111,0.449,0.332,0.531
112,0.801,0.027,0.691
113,0.992,-0.059,0.207
114,0.859,-0.004,0.270
115,0.539,0.035,1.086
116,0.602,0.168,1.781
117,0.566,0.016,1.703
118,0.562,0.180,0.426
119,0.574,0.023,0.430
120,0.250,0.145,1.094
121,0.238,0.152,1.969
122,0.234,0.266,1.930
123,0.379,0.262,0.895
124,0.324,-0.039,0.582
125,0.051,0.070,0.316
126,-0.043,0.102,1.188
127,0.281,0.020,1.977
128,0.621,-0.164,1.582
129,0.414,-0.250,0.262
130,0.270,-0.332,-0.242
131,0.180,-0.363,0.504
132,0.715,-0.266,1.781
133,0.922,-0.098,1.539
134,0.770,-0.082,0.340
135,0.625,-0.371,0.277
136,0.457,-0.395,0.633
137,0.754,-0.242,1.641
138,0.883,0.043,1.941
139,0.711,0.047,1.594
140,0.469,-0.078,0.855
141,0.492,-0.020,0.316
142,0.688,0.039,0.754
143,0.844,0.059,1.703
144,0.590,0.133,1.504
145,0.434,-0.004,0.723
146,0.699,-0.031,0.531
147,1.172,-0.008,0.520
148,0.992,0.266,0.602
149,0.352,0.113,0.699
150,-0.012,0.039,0.645
151,0.566,-0.074,1.020
152,1.074,0.203,1.012
153,0.922,0.398,0.621
154,0.414,0.305,0.793
