Sample,X,Y,Z
0,0.219,0.000,1.289
1,-0.004,0.012,0.980
2,-0.008,0.016,0.992
3,-0.012,0.012,0.992
4,-0.012,0.008,0.980
5,-0.012,0.000,0.984
6,-0.016,0.012,0.988
7,-0.008,0.008,0.988
8,-0.016,-0.004,0.977
9,-0.020,0.000,0.984
10,-0.008,0.004,0.988
11,-0.012,0.004,0.980
12,-0.016,0.000,0.988
13,-0.020,-0.004,0.980
14,-0.012,0.008,0.980
15,-0.012,0.012,0.984
16,-0.016,0.004,1.000
17,-0.016,0.004,0.988
18,-0.016,0.012,0.977
19,-0.016,0.012,0.980
20,-0.043,0.023,0.977
21,0.000,0.008,0.980
22,-0.004,0.016,0.988
23,-0.012,0.004,0.988
24,-0.008,0.004,0.980
25,-0.016,0.008,0.984
26,-0.012,0.000,0.984
27,-0.012,0.000,0.984
28,-0.016,0.008,0.992
29,-0.012,0.004,0.984
30,-0.008,0.000,0.973
31,-0.020,0.004,0.973
32,-0.023,0.004,0.984
33,-0.016,0.016,0.992
34,-0.020,0.004,0.980
35,-0.016,0.008,0.977
36,-0.016,0.012,0.996
37,-0.012,0.016,0.988
38,-0.008,0.008,0.977
39,-0.016,0.004,0.977
40,-0.027,0.059,0.988
41,-0.004,0.000,0.984
42,-0.012,-0.004,0.980
43,-0.008,0.008,0.988
44,-0.008,0.020,0.992
45,-0.008,0.008,0.988
46,-0.016,0.008,0.984
47,-0.016,0.016,0.984
48,-0.012,0.008,0.984
49,-0.004,0.004,0.984
50,-0.016,0.000,0.984
51,-0.012,0.000,0.980
52,-0.012,0.000,0.973
53,-0.020,0.004,0.980
54,-0.016,0.004,0.992
55,-0.016,0.000,0.980
56,-0.012,-0.004,0.984
57,-0.016,0.016,0.992
58,-0.012,0.008,0.984
59,-0.004,0.020,0.988
60,-0.035,0.047,0.984
61,-0.012,0.004,0.980
62,-0.012,0.000,0.984
63,-0.008,0.008,0.988
64,-0.016,-0.008,0.996
65,-0.008,0.004,0.973
66,-0.012,0.008,0.980
67,-0.012,0.008,0.992
68,-0.008,0.000,0.977
69,-0.012,0.000,0.980
70,-0.020,0.012,0.996
71,-0.016,0.000,0.988
72,-0.008,0.008,0.980
73,-0.016,-0.004,0.977
74,-0.020,0.004,0.984
75,-0.016,0.000,0.984
76,-0.012,0.012,0.988
77,-0.012,0.004,0.988
78,-0.016,0.004,0.984
79,-0.016,0.008,0.980
80,-0.031,0.027,1.004
81,-0.008,0.012,0.980
82,-0.008,0.008,0.984
83,-0.016,0.008,0.988
84,-0.012,0.008,0.984
85,-0.008,0.004,0.984
86,-0.016,-0.004,0.980
87,-0.020,0.012,0.984
88,-0.016,0.008,0.988
89,-0.004,0.004,0.984
90,-0.012,0.008,0.992
91,-0.008,0.004,0.984
92,-0.016,0.012,0.977
93,-0.012,0.008,0.984
94,-0.008,-0.004,0.957
95,0.004,0.023,0.879
96,-0.008,0.172,0.996
97,-0.055,0.340,1.133
98,-0.066,0.352,0.977
99,-0.062,0.250,0.746
100,-0.121,0.375,0.984
101,-0.109,0.484,1.508
102,-0.062,0.488,1.227
103,0.020,0.332,0.457
104,-0.145,0.301,0.574
105,-0.426,0.500,1.469
106,-0.285,0.551,1.867
107,0.051,0.324,1.109
108,0.039,-0.020,0.301
109,-0.402,-0.059,0.465
110,-0.547,0.234,1.199
111,-0.230,0.602,1.512
112,-0.258,0.758,1.191
113,-0.680,0.582,0.664
114,-0.648,0.273,0.344
115,-0.027,0.289,0.934
116,0.184,0.641,1.418
117,-0.547,0.723,0.566
118,-1.203,0.566,-0.191
119,-0.898,0.516,0.777
120,0.105,0.602,1.980
121,0.453,0.586,1.535
