Sample,X,Y,Z
0,0.008,0.004,1.078
1,-0.023,0.012,0.984
2,-0.020,0.012,0.984
3,-0.020,0.008,0.988
4,-0.027,0.016,0.977
5,-0.016,0.020,0.984
6,-0.027,0.016,0.984
7,-0.020,0.016,0.984
8,-0.023,0.020,0.980
9,-0.020,0.012,0.980
10,-0.023,0.020,0.984
11,-0.023,0.016,0.980
12,-0.023,0.016,0.969
13,-0.023,0.020,0.984
14,-0.027,0.012,0.984
15,-0.020,0.016,0.984
16,-0.031,0.012,0.984
17,-0.023,0.023,0.988
18,-0.020,0.020,0.980
19,-0.023,0.012,0.977
20,-0.016,0.000,0.988
21,-0.020,0.027,0.984
22,-0.020,0.020,0.988
23,-0.027,0.016,0.980
24,-0.020,0.008,0.980
25,-0.020,0.016,0.973
26,-0.016,0.020,0.984
27,-0.020,0.008,0.980
28,-0.020,0.020,0.984
29,-0.016,0.020,0.984
30,-0.020,0.020,0.988
31,-0.023,0.016,0.984
32,-0.027,0.027,0.984
33,-0.023,0.016,0.984
34,-0.020,0.020,0.984
35,-0.027,0.016,0.977
36,-0.027,0.023,0.980
37,-0.027,0.016,0.977
38,-0.020,0.012,0.988
39,-0.023,0.031,0.980
40,-0.016,0.023,0.965
41,-0.027,0.020,0.980
42,-0.031,0.016,0.988
43,-0.023,0.016,0.984
44,-0.020,0.020,0.984
45,-0.016,0.023,0.984
46,-0.016,0.020,0.980
47,-0.020,0.016,0.984
48,-0.023,0.016,0.984
49,-0.020,0.012,0.980
50,-0.020,0.016,0.980
51,-0.023,0.023,0.980
52,-0.031,0.016,0.992
53,-0.023,0.016,0.984
54,-0.027,0.020,0.984
55,-0.035,0.023,0.984
56,-0.031,0.016,0.980
57,-0.020,0.020,0.977
58,-0.020,0.016,0.984
59,-0.016,0.008,0.988
60,-0.027,0.023,0.973
61,-0.016,0.016,0.984
62,-0.020,0.012,0.984
63,-0.023,0.016,0.992
64,-0.027,0.016,0.988
65,-0.031,0.016,0.980
66,-0.020,0.023,0.984
67,-0.023,0.020,0.992
68,-0.020,0.020,0.980
69,-0.020,0.016,0.969
70,-0.020,0.016,0.980
71,-0.023,0.027,0.977
72,-0.027,0.023,0.980
73,-0.023,0.016,0.984
74,-0.031,0.012,0.980
75,-0.027,0.027,0.992
76,-0.027,0.008,0.984
77,-0.031,0.020,0.980
78,-0.020,0.012,0.988
79,-0.027,0.004,0.977
80,-0.008,0.023,0.977
81,-0.020,0.008,0.984
82,-0.020,0.023,0.988
83,-0.020,0.020,0.984
84,-0.023,0.020,0.980
85,-0.020,0.016,0.980
86,-0.020,0.020,0.984
87,-0.023,0.023,0.988
88,-0.027,0.023,0.984
89,-0.016,0.020,0.996
90,-0.016,0.016,0.977
91,-0.020,0.016,0.973
92,-0.020,0.016,0.980
93,-0.016,0.012,0.984
94,-0.039,0.016,1.008
95,-0.109,-0.020,1.148
96,-0.250,-0.078,1.238
97,-0.398,-0.172,0.941
98,-0.352,-0.223,0.656
99,-0.215,-0.191,0.824
100,-0.316,-0.191,1.082
101,-0.488,-0.211,1.020
102,-0.430,-0.258,0.715
103,-0.152,-0.211,0.566
104,-0.125,-0.137,0.797
105,-0.438,-0.105,1.031
106,-0.531,-0.113,1.094
107,-0.234,-0.098,1.102
108,-0.066,-0.070,1.023
109,-0.281,-0.078,1.062
110,-0.555,-0.133,1.270
111,-0.531,-0.250,1.137
112,-0.348,-0.312,0.980
113,-0.336,-0.281,1.027
114,-0.574,-0.352,1.133
115,-0.805,-0.477,1.039
116,-0.793,-0.555,0.656
117,-0.668,-0.469,0.812
118,-0.492,-0.172,1.473
119,-0.305,-0.074,1.172
120,-0.293,-0.145,0.387
121,-0.273,-0.121,0.188
122,-0.148,-0.031,0.918
123,-0.258,0.035,1.922
124,-0.582,-0.242,1.754
125,-0.801,-0.570,0.707
126,-0.711,-0.508,0.488
127,-0.414,-0.266,1.129
128,-0.672,-0.227,1.449
129,-1.293,-0.512,0.977
130,-1.168,-0.766,0.395
131,-0.805,-0.668,0.371
132,-0.617,-0.371,0.668
133,-0.805,-0.188,0.633
134,-1.426,-0.281,0.711
135,-1.336,-0.473,0.418
136,-0.375,-0.477,0.320
137,0.020,-0.324,1.086
138,-0.488,-0.289,1.434
139,-1.059,-0.480,1.098
140,-0.984,-0.656,0.695
141,-0.367,-0.422,1.406
142,-0.527,-0.242,1.988
143,-1.148,-0.359,1.699
144,-0.809,-0.391,0.965
145,0.164,-0.164,0.711
146,0.254,0.090,1.262
147,-0.539,0.039,1.090
148,-0.980,-0.422,0.512
149,-0.766,-0.590,0.723
150,-0.129,-0.723,-0.027
151,-0.074,-0.480,0.035
152,-0.551,-0.316,1.094
153,-1.145,-0.414,1.605
154,-1.152,-0.766,1.152
155,-1.637,-0.820,0.805
156,-1.488,-0.422,1.027
157,-0.898,-0.145,1.098
158,-0.375,-0.203,0.887
159,-0.742,-0.508,1.020
160,-1.527,-0.789,0.531
161,-1.223,-0.754,0.430
162,-0.402,-0.527,0.863
163,-0.156,-0.348,1.109
164,-1.566,-0.309,1.531
165,-1.578,-0.270,1.438
166,0.027,-0.207,0.898
167,0.273,0.023,0.199
168,-0.191,0.035,-0.172
169,-0.777,0.035,1.102
170,-0.406,-0.320,1.453
171,-0.285,-0.578,1.695
172,-1.195,-0.570,1.566
173,-1.133,-0.391,0.988
174,0.215,-0.102,1.301
175,0.781,-0.121,1.113
176,-0.852,-0.559,0.586
177,-1.992,-0.707,0.277
178,-1.410,-0.656,0.484
179,0.562,-0.434,1.254
180,0.008,-0.430,1.992
181,-1.992,-0.617,1.199
182,-1.430,-0.590,0.305
183,0.613,-0.379,0.211
184,0.641,-0.062,0.477
185,-1.273,-0.453,0.234
186,-1.961,-0.660,0.996
187,-0.320,-0.969,0.938
188,0.910,-0.820,1.305
189,-1.160,-0.500,1.461
190,-1.805,-0.254,1.125
191,-0.355,-0.254,0.203
192,0.277,-0.445,-0.250
193,-0.855,-0.125,0.215
194,-1.605,0.039,1.328
195,-0.738,0.156,1.992
196,0.316,-0.137,1.980
197,-1.023,-0.062,0.934
198,-1.273,-0.152,0.488
199,0.594,0.246,0.938
200,0.254,0.270,0.797
201,-0.074,-0.121,0.574
202,0.016,-0.422,0.902
203,0.039,-0.426,1.297
204,0.203,-0.348,1.992
205,-0.609,-0.273,1.285
206,-1.555,-0.648,0.129
207,-0.141,-0.262,0.359
208,0.316,-0.047,0.695
209,-1.355,-0.082,0.379
210,-0.809,-0.309,0.371
211,-0.516,-0.484,0.816
212,-0.879,-0.230,0.832
213,-1.211,-0.250,0.359
214,-0.531,0.035,1.586
215,0.070,-0.219,1.938
216,0.023,-0.238,0.926
217,-0.039,-0.520,0.203
218,0.703,0.027,1.762
219,0.305,0.441,0.887
220,0.082,-0.336,0.988
221,0.926,0.309,1.867
222,-0.133,-0.176,0.031
223,-0.055,-0.281,0.559
224,-0.508,0.152,0.633
225,-0.535,0.098,1.562
226,-0.598,0.242,1.516
227,0.289,-0.199,0.285
228,0.324,-0.133,0.582
229,-0.328,0.109,1.074
230,-0.723,0.203,1.031
231,0.137,0.184,0.863
232,0.312,0.348,1.375
233,0.023,0.422,1.488
234,0.004,-0.027,0.348
235,0.191,-0.258,0.992
236,0.344,0.211,1.547
237,-0.574,-0.285,-0.023
238,-0.883,-0.133,0.500
239,-0.371,-0.105,1.539
240,0.277,0.004,1.645
241,0.227,-0.688,-0.059
242,-0.426,-0.113,0.945
243,-0.797,0.105,0.980
244,-0.586,0.281,1.059
245,0.180,0.289,1.438
246,0.637,0.059,1.516
247,0.531,-0.016,0.773
248,0.668,-0.074,0.336
249,0.688,0.141,1.246
250,0.258,0.105,1.812
251,-0.203,0.023,1.227
252,0.180,-0.043,0.703
253,0.688,-0.078,0.922
254,0.027,0.199,0.945
255,0.305,0.230,0.398
256,-0.172,0.340,1.719
257,-0.934,0.254,1.734
258,-0.066,-0.164,0.477
259,-0.469,-0.121,0.570
260,-0.312,-0.164,1.477
261,-0.020,-0.086,1.348
262,-0.523,-0.156,-0.281
263,0.266,0.262,0.664
264,1.086,0.434,1.992
265,-0.059,0.016,0.742
266,-0.066,-0.258,-1.168
267,0.312,-0.008,-0.527
268,0.262,0.570,1.762
269,-0.559,0.418,1.918
270,-1.660,-0.238,-0.359
271,0.258,-0.410,-0.504
272,1.328,0.020,1.520
273,-1.094,0.051,1.375
274,-1.938,-0.117,0.609
275,-0.523,-0.270,1.359
276,0.789,-0.129,1.957
277,0.023,-0.340,0.125
278,-0.875,0.027,-0.539
279,0.969,0.246,1.445
280,1.418,0.254,1.887
281,0.082,-0.227,0.531
282,-0.363,-0.059,0.598
283,0.336,-0.004,1.129
284,1.723,-0.102,-0.293
285,1.246,-0.336,-0.125
286,-1.238,-0.090,1.422
287,-0.707,0.113,1.992
288,0.355,-0.121,0.492
289,0.465,0.184,0.367
290,-1.020,0.312,1.664
291,-1.359,0.336,1.945
292,-0.066,0.012,1.199
293,0.148,-0.074,0.277
294,-0.207,-0.035,0.199
295,-0.855,-0.102,0.633
296,-0.352,-0.020,0.141
297,1.160,-0.254,1.207
298,0.141,-0.168,1.590
299,-0.734,-0.043,0.223
