Sample,X,Y,Z
0,-0.145,0.160,1.078
1,0.066,-0.020,1.012
2,0.055,-0.020,1.012
3,0.047,-0.016,1.004
4,0.047,-0.023,1.008
5,0.055,-0.016,1.016
6,0.051,-0.012,1.000
7,0.047,-0.012,1.004
8,0.051,-0.020,1.020
9,0.051,-0.020,1.008
10,0.047,-0.016,1.004
11,0.055,-0.016,1.004
12,0.047,-0.023,1.012
13,0.051,-0.016,1.000
14,0.051,-0.023,1.004
15,0.047,-0.020,1.004
16,0.055,-0.023,1.008
17,0.043,-0.023,0.992
18,0.047,-0.016,0.996
19,0.051,-0.020,1.000
20,0.047,-0.016,0.980
21,0.047,-0.020,1.008
22,0.047,-0.020,0.996
23,0.047,-0.016,1.004
24,0.047,-0.016,1.012
25,0.051,-0.016,1.012
26,0.051,-0.020,0.996
27,0.047,-0.020,1.008
28,0.051,-0.020,0.996
29,0.055,-0.020,1.004
30,0.055,-0.023,0.992
31,0.047,-0.023,1.000
32,0.051,-0.020,1.012
33,0.047,-0.023,1.000
34,0.051,-0.016,1.000
35,0.043,-0.023,0.992
36,0.051,-0.023,1.008
37,0.047,-0.020,1.004
38,0.047,-0.016,1.004
39,0.047,-0.020,1.004
40,0.059,0.004,0.973
41,0.051,-0.020,1.000
42,0.051,-0.020,1.004
43,0.047,-0.023,0.996
44,0.051,-0.020,1.000
45,0.047,-0.023,1.000
46,0.047,-0.020,1.004
47,0.055,-0.027,1.008
48,0.043,-0.016,1.000
49,0.047,-0.020,1.012
50,0.039,-0.020,1.000
51,0.051,-0.020,1.008
52,0.047,-0.023,1.008
53,0.047,-0.027,1.004
54,0.047,-0.020,1.004
55,0.047,-0.023,0.992
56,0.051,-0.012,0.996
57,0.055,-0.023,1.008
58,0.059,-0.020,1.004
59,0.047,-0.020,1.008
60,0.047,-0.004,0.996
61,0.051,-0.020,1.000
62,0.055,-0.027,1.000
63,0.047,-0.020,0.996
64,0.059,-0.020,1.008
65,0.055,-0.020,1.008
66,0.055,-0.016,1.000
67,0.047,-0.020,0.992
68,0.047,-0.020,1.008
69,0.047,-0.016,1.008
70,0.047,-0.023,1.008
71,0.051,-0.023,1.000
72,0.043,-0.020,1.000
73,0.047,-0.020,1.008
74,0.051,-0.020,1.000
75,0.051,-0.023,1.000
76,0.047,-0.023,1.008
77,0.047,-0.020,0.996
78,0.051,-0.023,1.020
79,0.051,-0.020,1.008
80,0.035,0.004,1.008
81,0.051,-0.020,1.008
82,0.047,-0.016,1.008
83,0.043,-0.027,1.004
84,0.047,-0.012,1.000
85,0.047,-0.016,1.004
86,0.047,-0.016,1.004
87,0.047,-0.020,0.996
88,0.059,-0.020,1.008
89,0.051,-0.016,1.004
90,0.047,-0.012,1.008
91,0.043,-0.027,1.008
92,0.051,-0.027,0.996
93,0.047,-0.023,1.004
94,0.047,-0.023,1.004
95,0.051,-0.012,1.004
96,0.055,-0.020,1.000
97,0.047,-0.016,1.004
98,0.043,-0.023,0.992
99,0.047,-0.027,1.012
100,0.051,0.000,0.953
101,0.055,-0.020,1.008
102,0.051,-0.023,1.008
103,0.066,-0.023,1.008
104,0.078,-0.027,1.008
105,0.133,-0.066,1.020
106,0.273,-0.141,1.070
107,0.246,-0.148,0.945
108,0.168,-0.043,0.793
109,0.098,0.004,0.996
110,0.094,-0.086,1.211
111,0.203,-0.168,1.090
112,0.141,-0.125,0.723
113,0.203,-0.027,1.031
114,0.352,-0.066,1.629
115,0.477,0.117,1.383
116,0.488,0.137,1.191
117,0.328,0.121,0.398
118,0.070,-0.121,0.969
119,0.484,-0.254,1.762
120,0.738,-0.066,1.469
121,0.586,0.125,0.453
122,0.254,0.215,-0.184
123,0.070,0.156,0.672
124,0.172,0.051,1.414
125,0.207,-0.016,1.215
126,0.203,0.004,0.332
127,0.438,-0.023,0.500
128,0.734,0.031,1.047
129,0.930,0.332,0.996
130,0.641,0.227,1.012
131,0.406,0.051,1.043
132,0.441,-0.129,1.277
133,0.402,-0.070,1.020
134,0.352,0.164,1.051
135,0.707,0.113,1.781
136,0.871,-0.227,1.816
137,0.414,-0.203,-0.043
138,0.094,-0.074,-0.176
139,0.191,-0.148,1.449
140,0.277,-0.199,1.992
141,0.305,-0.242,1.414
142,0.277,-0.156,-0.477
143,0.363,-0.043,-0.438
144,0.445,0.074,1.352
145,0.582,-0.066,1.988
146,0.426,0.004,1.137
147,0.695,0.039,0.086
148,0.672,0.008,0.250
149,0.613,0.113,1.352
150,0.516,0.090,1.992
151,0.426,0.105,1.527
152,0.711,-0.027,0.781
153,0.668,-0.012,0.406
154,0.305,-0.129,1.258
155,0.391,-0.176,1.734
156,0.555,-0.250,1.461
157,0.629,0.160,0.184
158,0.910,0.219,0.266
159,0.645,0.098,0.688
160,0.371,-0.137,1.113
161,0.398,-0.227,0.949
162,0.551,-0.004,0.707
163,0.668,0.105,0.996
164,0.574,0.152,0.855
165,0.434,0.074,0.859
166,0.707,0.043,0.773
167,0.934,-0.117,1.000
168,0.832,-0.027,1.172
169,0.641,-0.031,1.281
170,0.211,0.113,1.047
171,0.395,-0.008,1.113
172,0.770,-0.020,1.324
173,0.848,0.035,1.219
174,0.523,0.078,0.949
175,-0.047,-0.141,0.824
176,0.199,-0.137,0.547
177,0.754,-0.102,1.348
178,0.949,0.094,1.098
179,0.625,0.137,0.762
180,0.016,-0.039,0.848
181,0.039,-0.043,0.988
182,0.168,-0.238,1.109
183,0.523,0.184,0.145
184,1.004,0.059,1.125
185,0.969,0.035,1.777
186,0.777,0.008,1.699
187,0.238,0.039,0.461
188,0.012,0.191,0.293
189,0.504,0.031,1.094
190,0.766,-0.172,1.691
191,0.305,-0.371,1.762
192,0.371,0.180,-0.004
193,0.547,0.094,1.266
194,0.746,0.195,0.539
195,1.004,-0.180,0.332
196,0.371,-0.520,1.422
197,0.270,-0.012,1.348
198,0.383,0.355,0.766
199,0.578,0.359,0.617
200,0.414,-0.191,1.133
201,0.547,-0.668,1.117
202,0.930,0.285,0.832
203,1.074,0.277,1.008
204,1.137,0.055,1.012
205,0.180,-0.078,1.383
206,0.109,-0.098,0.824
207,0.336,-0.199,0.668
208,0.410,-0.043,0.789
209,0.699,0.191,1.605
210,0.375,0.305,1.203
211,0.852,0.020,1.168
212,0.590,-0.559,0.629
213,0.746,0.133,-0.832
214,0.660,0.145,1.637
215,0.379,0.293,1.992
216,0.379,-0.105,1.125
217,-0.539,-0.191,-0.965
218,0.438,0.012,-0.379
219,1.395,0.152,1.938
220,0.867,0.180,1.969
221,0.387,0.133,0.035
222,0.109,-0.148,-0.797
223,0.129,-0.078,0.664
224,0.613,-0.129,1.984
225,0.520,0.172,1.434
226,0.074,0.031,0.074
227,0.566,-0.340,-0.262
228,1.312,-0.176,1.082
229,1.109,-0.098,1.992
230,0.914,0.098,0.457
231,-0.074,0.270,0.137
232,-0.195,-0.410,1.062
233,0.820,0.000,1.227
234,0.797,0.098,1.766
235,0.750,-0.145,1.051
236,0.633,-0.012,-0.414
237,0.164,0.133,0.859
238,0.855,0.125,1.770
239,1.051,-0.078,1.930
240,0.250,-0.070,0.660
241,-0.035,-0.117,-0.242
242,0.094,0.109,0.656
243,1.027,0.086,1.852
244,1.285,-0.230,1.742
245,0.773,0.035,-0.375
246,0.391,0.133,-0.344
247,0.121,0.270,1.223
248,0.648,-0.070,1.984
249,0.469,-0.121,1.477
250,0.359,-0.234,0.543
251,0.582,0.195,0.156
252,0.316,-0.090,1.641
253,0.547,0.027,1.090
254,0.723,-0.105,1.242
255,0.891,0.074,0.848
256,0.453,0.133,0.891
257,0.098,-0.062,0.500
258,0.340,-0.188,1.125
259,0.145,-0.117,1.289
260,0.246,0.215,1.363
261,0.680,-0.125,0.758
262,0.500,0.027,0.340
263,0.762,-0.133,1.062
264,0.742,0.227,1.301
265,0.816,-0.293,1.969
266,-0.180,-0.023,0.566
267,0.301,0.184,0.203
268,0.648,0.188,0.848
269,0.887,-0.250,1.922
270,0.699,-0.160,1.035
271,0.242,0.031,0.043
272,0.328,0.082,0.941
273,0.402,-0.211,1.129
274,-0.074,0.086,1.000
275,0.352,0.070,0.512
276,0.250,-0.191,0.922
277,0.113,0.059,0.652
278,0.668,-0.016,0.629
279,0.484,0.043,1.578
280,0.512,0.102,1.637
281,0.754,0.023,0.328
282,-0.211,-0.078,0.680
283,-0.207,0.102,1.355
284,0.398,0.152,1.914
285,-0.102,-0.277,1.281
286,0.254,-0.223,0.438
287,0.613,0.273,0.301
288,0.180,-0.023,1.812
289,-0.031,-0.035,1.457
290,-0.031,0.016,0.043
291,-0.098,-0.164,0.672
292,-0.004,0.047,1.410
293,0.227,-0.043,1.176
294,-0.293,-0.137,1.078
295,-0.031,0.137,0.508
296,0.332,0.164,0.484
297,0.047,-0.359,1.875
298,-0.023,-0.027,0.367
299,-0.105,0.062,0.934
300,0.469,0.160,1.227
301,0.145,-0.094,1.938
302,0.316,-0.199,0.281
303,0.160,-0.137,0.352
304,-0.027,0.254,1.672
305,0.578,0.109,1.609
306,0.172,-0.160,1.059
307,-0.223,-0.320,0.219
308,-0.422,0.043,0.020
309,0.348,0.145,1.402
310,-0.164,-0.105,1.938
311,-0.164,-0.172,0.445
312,-0.156,0.043,-0.125
313,0.121,0.137,1.707
314,0.434,-0.023,1.301
315,-0.016,0.316,0.406
316,0.211,-0.109,0.727
317,0.344,-0.055,1.066
318,0.133,-0.254,1.992
319,0.328,0.078,0.391
320,-0.246,0.285,-0.348
321,-0.484,-0.293,1.207
322,0.645,0.105,1.922
323,0.383,0.258,1.180
324,-0.504,-0.227,0.496
325,-0.340,-0.059,-0.176
326,-0.223,-0.195,0.945
327,-0.234,-0.242,1.992
328,0.422,0.301,0.492
329,-0.109,0.152,-0.297
330,-0.121,-0.262,0.629
331,0.414,-0.148,1.156
332,0.438,0.094,1.988
333,0.590,0.125,1.645
334,-0.480,0.051,0.316
335,-0.582,-0.215,-0.055
336,-0.145,0.070,0.492
337,0.418,-0.176,1.879
338,0.234,-0.129,1.949
339,0.348,0.156,-0.070
340,-0.234,-0.023,-0.809
341,-0.301,-0.359,1.066
342,0.668,-0.047,1.930
343,0.031,0.152,1.738
344,-0.496,0.105,0.059
345,-0.047,-0.109,-0.203
346,-0.227,-0.102,1.582
347,0.645,-0.043,1.676
348,0.715,0.215,0.961
349,0.121,-0.023,1.227
350,0.195,0.031,0.434
351,-0.160,0.176,0.414
352,-0.352,-0.348,1.605
353,0.137,-0.133,1.465
354,0.363,0.043,1.035
355,0.215,0.098,0.355
356,-0.105,0.066,0.273
357,0.141,-0.125,0.766
