Sample,X,Y,Z
0,0.074,0.234,1.035
1,0.051,-0.016,0.996
2,0.055,-0.023,1.000
3,0.051,-0.027,1.008
4,0.055,-0.016,1.016
5,0.055,-0.016,0.996
6,0.055,-0.016,1.012
7,0.051,-0.016,1.012
8,0.055,-0.016,1.004
9,0.055,-0.020,1.008
10,0.055,-0.020,1.004
11,0.055,-0.023,1.000
12,0.051,-0.020,1.000
13,0.055,-0.020,1.008
14,0.059,-0.023,1.000
15,0.055,-0.020,0.996
16,0.059,-0.020,1.008
17,0.051,-0.023,1.000
18,0.055,-0.023,0.996
19,0.055,-0.016,1.008
20,0.027,-0.012,0.980
21,0.059,-0.016,1.012
22,0.055,-0.016,1.000
23,0.059,-0.023,1.008
24,0.059,-0.020,1.004
25,0.051,-0.020,1.008
26,0.051,-0.020,1.000
27,0.055,-0.020,1.000
28,0.051,-0.020,1.008
29,0.059,-0.016,1.012
30,0.055,-0.023,1.012
31,0.055,-0.020,1.000
32,0.059,-0.020,1.000
33,0.059,-0.020,0.992
34,0.059,-0.016,1.008
35,0.059,-0.016,1.012
36,0.055,-0.016,1.012
37,0.047,-0.020,1.004
38,0.059,-0.016,1.004
39,0.055,-0.016,1.000
40,0.051,-0.031,1.039
41,0.051,-0.023,1.000
42,0.051,-0.023,1.000
43,0.055,-0.023,0.996
44,0.055,-0.023,1.012
45,0.055,-0.023,1.000
46,0.059,-0.023,1.004
47,0.055,-0.020,1.000
48,0.051,-0.020,1.008
49,0.062,-0.023,1.008
50,0.059,-0.020,1.008
51,0.059,-0.027,1.004
52,0.059,-0.020,0.996
53,0.055,-0.016,1.004
54,0.059,-0.020,1.008
55,0.055,-0.020,1.008
56,0.055,-0.016,1.000
57,0.055,-0.016,1.000
58,0.055,-0.020,0.996
59,0.059,-0.027,1.000
60,0.055,-0.027,1.051
61,0.059,-0.031,0.992
62,0.055,-0.023,1.000
63,0.051,-0.031,0.996
64,0.059,-0.016,1.004
65,0.051,-0.016,1.012
66,0.051,-0.023,1.004
67,0.055,-0.020,1.000
68,0.055,-0.020,1.004
69,0.055,-0.023,0.996
70,0.055,-0.027,1.012
71,0.051,-0.027,1.000
72,0.055,-0.020,1.008
73,0.055,-0.020,0.996
74,0.051,-0.023,1.004
75,0.055,-0.027,1.000
76,0.055,-0.023,0.996
77,0.059,-0.016,0.996
78,0.051,-0.023,0.996
79,0.051,-0.023,1.008
80,0.051,-0.043,1.070
81,0.051,-0.023,0.996
82,0.051,-0.027,1.000
83,0.055,-0.020,1.000
84,0.059,-0.020,1.008
85,0.055,-0.016,1.012
86,0.059,-0.023,1.012
87,0.051,-0.016,1.008
88,0.047,-0.016,1.008
89,0.051,-0.023,0.996
90,0.055,-0.020,1.000
91,0.059,-0.020,1.004
92,0.055,-0.020,0.996
93,0.047,-0.020,1.012
94,0.051,-0.023,1.004
95,0.062,-0.020,1.000
96,0.055,-0.016,1.008
97,0.055,-0.016,1.004
98,0.051,-0.020,1.004
99,0.055,-0.020,1.000
100,0.039,0.004,0.996
101,0.074,0.004,0.996
102,0.137,0.113,1.031
103,0.164,0.160,1.148
104,0.000,0.078,1.051
105,-0.152,-0.066,1.035
106,-0.043,0.008,0.953
107,0.227,0.246,0.965
108,0.344,0.266,1.141
109,0.152,-0.020,1.152
110,0.016,-0.016,0.895
111,0.277,0.109,1.055
112,0.582,0.312,1.234
113,0.434,0.270,1.258
114,-0.066,0.098,0.910
115,-0.250,0.027,0.871
116,0.117,0.117,1.102
117,0.438,0.254,1.543
118,0.328,0.195,1.219
119,-0.012,0.098,0.449
120,-0.070,0.004,0.520
121,0.289,0.215,0.871
122,0.547,0.328,1.289
123,0.363,0.164,1.121
124,0.055,-0.070,0.758
125,0.207,-0.062,0.637
126,0.762,0.125,0.973
127,1.016,0.309,1.199
128,0.777,0.348,1.090
129,0.191,0.289,0.848
130,-0.148,0.316,0.914
131,0.016,0.488,0.926
132,0.227,0.547,1.164
133,0.496,0.418,1.172
134,0.414,0.172,1.098
135,0.438,0.207,0.695
136,0.730,0.547,1.004
137,0.543,0.512,1.414
138,0.148,0.309,1.070
139,-0.223,0.012,0.840
140,-0.012,-0.051,0.586
141,0.621,0.055,1.383
142,0.953,0.445,1.270
143,0.508,0.336,0.723
144,-0.383,-0.031,0.211
145,-0.332,0.051,0.051
146,0.457,0.406,1.777
147,0.840,0.789,1.906
148,0.469,0.828,0.617
149,-0.086,0.074,0.836
150,0.238,0.078,0.777
151,0.672,0.422,1.473
152,0.961,0.898,1.004
153,0.637,0.676,0.852
154,-0.098,0.227,1.055
155,0.016,0.137,0.953
156,0.141,0.113,1.520
157,0.438,0.391,0.738
158,0.578,0.422,0.621
159,0.297,0.164,1.164
160,0.430,0.223,0.488
161,0.566,-0.074,1.426
162,0.484,0.277,0.566
163,0.648,0.418,0.723
164,0.578,0.516,0.926
165,0.715,0.570,0.914
166,0.566,0.160,1.258
167,0.230,0.312,0.707
168,0.184,0.566,0.566
169,0.613,0.801,0.863
170,0.609,0.457,1.875
171,0.328,0.375,1.461
172,0.062,-0.043,1.340
173,0.035,0.324,0.301
174,0.598,0.629,0.465
175,0.656,0.168,1.336
176,0.242,0.016,0.723
177,0.168,0.012,0.988
178,0.641,0.410,0.699
179,0.699,0.578,1.012
180,0.457,0.188,1.488
181,-0.008,-0.031,1.496
182,0.148,0.195,0.969
183,0.477,0.723,0.570
184,0.633,0.582,0.773
185,0.195,0.383,0.672
186,0.180,0.133,1.211
187,0.324,0.195,1.750
188,0.477,0.273,1.398
189,0.543,0.883,0.953
190,0.312,0.492,1.203
191,-0.496,0.141,0.500
192,-0.102,-0.031,1.160
193,0.699,0.273,0.625
194,1.000,0.727,0.918
195,1.035,0.391,1.465
196,0.410,0.105,0.832
197,-0.125,0.059,1.078
