Sample,X,Y,Z
0,0.004,-0.039,0.852
1,-0.023,0.020,0.984
2,-0.023,0.012,0.977
3,-0.027,0.012,0.980
4,-0.020,0.016,0.992
5,-0.020,0.012,0.988
6,-0.020,0.004,0.969
7,-0.020,0.004,0.973
8,-0.023,0.016,0.988
9,-0.023,0.012,0.984
10,-0.020,-0.004,0.973
11,-0.016,0.008,0.977
12,-0.020,0.020,0.977
13,-0.031,0.020,0.988
14,-0.023,0.016,0.980
15,-0.016,0.020,0.980
16,-0.020,0.016,0.988
17,-0.020,0.004,0.988
18,-0.020,0.000,0.969
19,-0.020,0.008,0.977
20,-0.047,0.035,1.000
21,-0.016,0.004,0.980
22,-0.023,0.016,0.977
23,-0.023,0.012,0.984
24,-0.016,0.012,0.988
25,-0.023,0.012,0.992
26,-0.016,0.016,0.980
27,-0.012,0.016,0.973
28,-0.023,0.012,0.992
29,-0.031,0.004,0.988
30,-0.016,0.012,0.977
31,-0.023,0.008,0.980
32,-0.020,0.023,0.996
33,-0.016,0.012,0.973
34,-0.020,0.012,0.980
35,-0.027,0.020,0.992
36,-0.016,0.020,0.996
37,-0.016,0.016,0.977
38,-0.016,0.012,0.984
39,-0.023,-0.004,0.980
40,-0.027,0.027,0.984
41,-0.023,0.008,0.977
42,-0.012,0.004,0.969
43,-0.023,0.016,0.984
44,-0.020,0.023,0.988
45,-0.012,0.012,0.984
46,-0.020,0.020,0.992
47,-0.016,0.012,0.980
48,-0.016,0.020,0.988
49,-0.012,0.012,0.980
50,-0.027,0.008,0.980
51,-0.027,0.004,0.980
52,-0.023,0.008,0.984
53,-0.023,0.008,0.988
54,-0.023,-0.004,0.973
55,-0.023,0.008,0.984
56,-0.020,0.012,0.988
57,-0.020,0.023,0.980
58,-0.020,0.016,0.984
59,-0.020,0.020,0.988
60,-0.020,-0.016,0.984
61,-0.016,0.016,0.988
62,-0.023,0.012,0.977
63,-0.012,0.008,0.977
64,-0.016,0.020,0.988
65,-0.023,0.004,0.980
66,-0.023,0.012,0.969
67,-0.020,0.023,0.984
68,-0.023,0.020,0.996
69,-0.023,0.016,0.980
70,-0.023,0.016,0.980
71,-0.016,0.016,0.984
72,-0.020,0.020,0.984
73,-0.020,0.004,0.977
74,-0.020,0.008,0.977
75,-0.016,0.004,0.992
76,-0.020,0.004,0.988
77,-0.016,0.008,0.977
78,-0.012,0.012,0.984
79,-0.027,0.023,0.992
80,-0.035,0.012,0.992
81,-0.012,0.012,0.973
82,-0.020,0.016,0.980
83,-0.027,0.004,0.984
84,-0.020,0.004,0.980
85,-0.020,0.016,0.988
86,-0.023,0.012,0.973
87,-0.020,0.008,0.977
88,-0.023,0.008,0.980
89,-0.020,0.012,0.984
90,-0.020,0.008,0.977
91,-0.023,0.020,0.984
92,-0.016,0.012,0.992
93,-0.016,0.012,0.988
94,-0.074,0.027,1.020
95,-0.273,-0.008,1.164
96,-0.465,-0.090,1.121
97,-0.340,-0.176,0.836
98,-0.117,-0.074,0.930
99,-0.297,0.066,1.102
100,-0.566,0.074,0.902
101,-0.422,-0.121,0.723
102,-0.059,-0.082,0.852
103,0.102,0.152,1.062
104,-0.129,0.348,1.059
105,-0.488,0.359,0.973
106,-0.520,0.305,1.059
107,-0.254,0.328,1.348
108,-0.102,0.457,1.496
109,-0.320,0.453,1.199
110,-0.676,0.289,0.707
111,-0.633,0.051,0.746
112,-0.367,-0.129,1.055
113,-0.352,-0.191,0.855
114,-0.621,0.031,0.773
115,-1.066,0.375,1.102
116,-1.215,0.426,1.020
117,-0.664,0.082,0.359
118,-0.031,-0.254,-0.203
119,-0.039,-0.055,0.113
120,-0.805,0.539,1.465
121,-1.035,0.684,1.969
122,-0.383,0.039,0.660
123,-0.332,-0.406,-0.359
124,-0.793,0.090,1.410
125,-1.109,0.613,1.992
126,-0.910,0.207,1.035
127,-0.727,-0.324,-0.621
128,-0.797,-0.168,-0.031
129,-1.035,0.418,1.648
130,-1.461,0.582,1.957
131,-1.625,0.137,0.684
132,-0.922,-0.148,-0.391
133,0.266,0.145,0.539
134,0.250,0.582,1.781
135,-0.844,0.566,1.633
136,-1.336,0.180,0.715
137,-0.477,0.023,0.207
138,0.270,0.473,1.109
139,-0.098,0.883,1.984
140,-0.848,0.672,1.684
141,-1.020,-0.109,0.199
142,-0.566,-0.281,0.191
143,-0.551,0.094,1.273
144,-0.820,0.285,1.582
145,-1.047,0.051,0.609
146,-1.176,-0.254,-0.410
147,-1.090,-0.039,0.137
148,-1.211,0.406,1.570
149,-1.016,0.406,1.645
150,-0.883,0.281,0.727
151,-1.105,0.230,0.449
152,-1.246,0.363,0.703
153,-1.000,0.395,1.016
154,-0.555,0.516,1.570
155,-0.316,0.531,1.668
156,-0.590,0.238,0.766
157,-0.812,0.062,-0.465
158,-0.410,0.184,-0.004
159,-0.543,0.684,1.863
160,-1.164,0.500,1.883
161,-1.414,0.219,0.562
162,-1.152,-0.012,-0.012
163,-0.953,0.359,1.094
164,-1.008,0.562,1.688
165,-0.730,0.238,1.000
166,-0.066,-0.156,0.148
167,-0.348,-0.242,0.426
168,-1.715,0.262,1.309
169,-1.496,0.441,1.770
170,0.051,0.348,1.352
171,0.691,-0.086,0.547
172,-0.316,-0.215,-0.945
173,-1.281,0.199,0.223
174,-1.086,0.586,1.992
175,-0.234,0.555,1.898
176,-0.617,0.020,0.758
177,-1.789,0.035,0.031
178,-0.930,0.191,0.539
179,-0.453,0.250,0.543
180,-0.246,0.117,1.211
181,-1.371,0.250,1.992
182,-1.980,0.008,0.336
183,-0.230,0.125,-0.301
184,0.719,0.453,0.980
185,-1.363,0.168,0.652
186,-1.461,-0.094,0.543
187,-0.504,-0.020,1.727
188,-0.027,0.348,1.395
189,-0.828,0.660,-0.191
190,-1.555,0.695,0.355
191,-0.551,0.570,1.594
192,0.668,0.258,1.727
193,-0.105,0.215,1.035
194,-1.465,0.418,-0.207
195,-1.551,0.637,0.363
196,-0.188,0.336,1.938
197,0.211,0.160,1.750
198,-0.902,-0.277,0.195
199,-1.555,0.020,-0.188
200,0.484,0.348,1.512
201,0.617,0.406,1.781
202,-0.652,-0.121,0.051
203,-1.836,-0.148,0.496
204,-1.625,0.137,1.621
205,0.328,0.266,1.230
206,0.746,0.176,0.750
207,-1.133,-0.027,1.512
208,-1.508,-0.156,0.031
209,0.859,-0.453,-0.758
210,0.359,0.055,1.438
211,-1.492,0.449,1.930
212,-0.797,-0.109,0.562
213,0.285,-0.387,-0.410
214,1.289,-0.223,0.871
215,0.426,0.250,1.676
216,-0.871,0.160,0.961
217,-0.918,0.332,1.918
218,-0.824,0.262,0.848
219,0.746,0.090,-0.645
220,0.934,0.406,1.547
221,-1.152,0.777,1.988
222,-0.836,-0.062,-0.051
223,0.160,-0.172,-0.426
224,0.645,0.004,1.270
225,0.004,-0.109,0.734
226,-1.277,0.113,1.195
227,-0.734,-0.215,1.539
228,1.035,-0.629,-0.285
229,1.355,-0.797,-0.688
230,-0.793,0.016,1.176
231,-1.566,0.602,1.992
232,0.742,0.398,1.816
233,1.754,-0.152,-0.016
234,-0.367,-0.184,-0.379
235,-1.633,0.398,1.844
236,-0.648,0.520,1.695
237,1.035,-0.020,0.012
238,1.086,-0.230,0.496
239,-1.305,-0.504,0.684
240,-1.297,-0.422,0.773
241,0.805,-0.215,1.473
242,0.414,0.125,1.465
243,-0.254,-0.027,0.004
244,-0.871,-0.047,-0.203
245,-0.066,0.133,1.254
246,1.559,0.320,1.992
247,0.121,0.223,1.250
248,-0.434,0.027,0.004
249,-0.273,-0.074,0.398
250,-0.094,0.176,1.766
251,1.266,0.113,1.781
252,0.520,0.059,0.754
253,-0.434,-0.137,0.719
254,-0.500,-0.062,0.156
255,-0.402,0.109,0.582
256,0.129,0.293,1.969
257,-0.508,0.129,1.387
258,-0.586,-0.219,-0.043
259,0.371,-0.297,-0.141
260,0.422,0.023,1.316
261,0.012,0.105,1.742
262,-0.414,-0.016,0.449
263,-0.199,-0.078,0.012
264,0.469,0.098,1.430
265,0.461,0.359,1.969
266,0.207,-0.188,0.059
267,0.312,-0.078,0.062
268,-0.430,0.254,1.824
269,-0.871,0.258,1.484
270,0.023,-0.223,0.070
271,0.746,-0.055,0.562
272,0.398,0.078,1.945
273,-1.418,-0.117,0.797
274,-0.645,-0.219,-0.117
275,1.023,-0.016,1.637
276,0.242,0.066,1.285
277,-0.539,-0.219,-0.555
278,-0.539,-0.102,0.402
279,-0.539,-0.102,0.402
280,0.664,0.117,1.859
281,1.262,0.027,1.684
282,-0.574,0.133,0.949
283,-0.945,0.191,1.195
284,0.422,-0.031,0.504
285,1.492,-0.055,0.633
286,-0.699,0.086,1.883
287,-1.484,0.070,0.750
288,0.734,-0.188,0.176
289,1.027,0.004,1.148
290,-0.543,0.312,1.691
291,-1.555,0.207,0.914
292,0.012,0.043,0.129
293,1.652,0.090,1.348
294,-0.793,0.121,1.445
295,-1.289,0.125,0.379
296,0.906,0.070,0.777
297,1.117,0.035,1.062
298,-0.477,-0.098,1.125
299,-1.363,-0.055,1.867
300,-0.551,-0.090,0.480
301,1.711,-0.293,0.430
302,0.312,-0.086,0.848
303,-1.262,0.012,1.328
304,-0.520,-0.098,1.312
305,0.418,-0.027,1.109
306,0.383,-0.156,1.301
307,-0.930,0.016,1.000
308,-0.258,-0.172,0.117
309,1.145,-0.289,-0.188
310,0.457,0.141,1.434
311,-1.219,0.188,1.707
312,-0.820,0.133,0.738
313,1.055,-0.027,1.035
314,1.172,0.102,1.215
315,-0.328,0.031,0.793
316,-0.906,0.223,0.941
317,0.312,0.336,1.863
318,0.312,0.336,1.863
319,0.539,0.023,0.625
320,0.270,-0.043,-0.113
321,-1.043,0.387,1.887
322,-1.309,0.418,1.488
323,1.430,-0.312,-1.574
324,1.285,-0.164,-0.047
325,-1.496,0.391,1.988
326,-1.680,0.230,1.348
327,1.152,-0.230,-0.547
328,1.953,-0.297,0.289
329,0.031,-0.012,1.539
330,-1.848,0.098,1.477
331,-0.953,0.293,1.406
332,1.699,0.109,0.848
333,1.270,-0.039,0.574
334,-1.551,-0.094,0.488
335,-1.754,0.227,1.777
336,0.340,0.062,1.770
337,1.641,-0.402,-0.027
338,-0.391,-0.391,0.355
339,-1.930,-0.090,1.016
340,0.156,-0.070,0.844
341,1.168,-0.051,1.117
342,-0.168,-0.074,0.762
343,-0.797,-0.023,0.594
344,-0.168,0.023,0.852
345,1.488,-0.004,1.066
346,0.848,-0.090,0.520
347,-0.977,0.129,0.789
348,-0.641,0.410,1.961
349,0.141,0.250,1.566
350,0.762,-0.148,-0.473
351,1.195,-0.082,0.043
352,-0.527,0.336,1.730
353,-1.234,0.484,1.992
354,-0.211,0.184,1.312
355,0.676,-0.125,0.199
356,0.500,-0.188,0.070
357,-0.328,0.004,0.578
358,-0.777,0.141,1.305
359,0.082,0.223,1.762
360,1.008,-0.020,1.125
361,0.219,-0.363,-0.258
362,-0.898,-0.320,-0.109
363,-0.141,0.133,1.578
364,0.582,0.137,1.707
365,0.148,-0.043,0.812
366,-0.562,-0.004,1.051
367,-0.602,0.020,0.910
368,0.570,0.078,0.945
369,0.387,0.074,1.004
370,-0.852,-0.020,0.906
371,-1.066,0.117,1.500
372,-0.086,0.082,1.176
373,1.066,-0.180,0.301
374,0.449,-0.270,0.625
375,-1.066,-0.055,1.312
376,-0.598,0.066,1.414
377,0.793,-0.055,0.898
378,1.168,-0.012,0.629
379,-0.180,-0.082,0.762
380,-1.055,0.141,1.301
381,0.199,0.043,1.328
382,0.430,-0.035,0.777
383,0.020,0.043,0.793
384,-0.195,0.125,0.984
385,-0.164,0.043,0.914
386,0.250,-0.047,0.973
387,-0.094,0.062,1.113
388,-0.379,0.215,1.355
389,0.188,0.117,0.766
390,0.566,-0.047,0.227
391,0.043,0.008,1.246
392,-0.590,-0.027,1.539
393,0.113,0.016,1.199
394,0.859,0.070,1.094
395,-0.430,0.254,1.129
396,-0.723,0.184,0.840
397,0.301,-0.070,1.016
398,0.457,-0.148,1.320
399,-0.434,-0.207,0.594
400,-0.750,0.016,0.562
401,-0.012,-0.090,1.016
402,0.371,-0.352,0.719
403,-0.199,-0.535,0.625
404,-1.082,-0.172,0.789
405,-0.320,0.219,0.930
406,0.773,0.391,1.344
407,0.527,0.102,1.039
408,-0.594,-0.059,0.969
409,-0.988,0.000,0.887
410,0.316,0.160,0.738
411,0.555,0.363,1.516
412,-0.449,0.152,1.438
413,-0.336,0.082,0.902
414,0.543,0.133,0.930
415,0.664,0.113,1.133
416,-0.168,-0.180,0.531
417,-0.844,-0.152,0.934
418,-0.051,0.035,1.949
419,0.852,-0.039,1.367
420,0.641,-0.309,-0.703
421,0.172,-0.168,-0.383
422,-0.004,0.199,1.684
423,-0.121,0.250,1.977
424,-0.250,-0.129,0.406
425,-0.305,-0.133,-0.336
426,0.102,0.164,0.660
427,0.484,0.316,1.793
428,0.020,0.160,1.863
429,-0.852,-0.191,0.949
430,-0.930,-0.332,0.320
431,0.383,-0.258,0.152
432,1.008,0.035,1.348
