Sample,X,Y,Z
0,0.035,0.109,1.027
1,0.105,-0.016,0.996
2,0.059,-0.016,1.004
3,0.055,-0.020,0.992
4,0.059,-0.016,0.988
5,0.055,-0.016,1.008
6,0.059,-0.016,1.016
7,0.055,-0.016,1.004
8,0.059,-0.012,1.000
9,0.055,-0.016,1.008
10,0.059,-0.020,1.008
11,0.059,-0.020,1.004
12,0.055,-0.020,1.000
13,0.062,-0.016,1.016
14,0.055,-0.023,1.004
15,0.059,-0.012,1.004
16,0.059,-0.020,0.996
17,0.055,-0.016,1.004
18,0.055,-0.020,1.000
19,0.051,-0.016,0.996
20,0.043,0.000,0.934
21,0.051,-0.020,1.012
22,0.059,-0.016,1.012
23,0.059,-0.023,1.000
24,0.059,-0.012,1.004
25,0.055,-0.012,1.016
26,0.055,-0.016,1.008
27,0.059,-0.016,1.004
28,0.055,-0.020,0.992
29,0.047,-0.020,1.004
30,0.051,-0.023,1.008
31,0.055,-0.012,1.012
32,0.062,-0.020,1.012
33,0.055,-0.016,1.020
34,0.062,-0.012,1.004
35,0.062,-0.020,1.004
36,0.062,-0.012,1.008
37,0.055,-0.012,1.012
38,0.059,-0.020,1.008
39,0.047,-0.016,0.996
40,0.051,-0.020,0.957
41,0.055,-0.020,1.004
42,0.055,-0.012,1.004
43,0.062,-0.020,1.008
44,0.062,-0.016,1.000
45,0.066,-0.023,1.004
46,0.055,-0.020,1.012
47,0.055,-0.012,1.008
48,0.051,-0.020,1.008
49,0.055,-0.020,1.008
50,0.059,-0.016,1.004
51,0.062,-0.016,1.004
52,0.059,-0.016,1.004
53,0.062,-0.020,1.004
54,0.066,-0.020,1.000
55,0.055,-0.016,1.008
56,0.055,-0.012,1.000
57,0.059,-0.020,1.012
58,0.062,-0.012,1.004
59,0.055,-0.020,1.004
60,0.051,-0.004,0.965
61,0.066,-0.012,1.004
62,0.059,-0.020,1.008
63,0.055,-0.023,1.008
64,0.055,-0.016,0.996
65,0.059,-0.016,1.000
66,0.047,-0.020,1.004
67,0.055,-0.012,1.000
68,0.055,-0.012,1.012
69,0.062,-0.016,1.012
70,0.066,-0.020,1.000
71,0.059,-0.012,1.004
72,0.059,-0.016,0.996
73,0.051,-0.016,1.004
74,0.055,-0.020,0.996
75,0.055,-0.016,1.012
76,0.055,-0.020,0.996
77,0.059,-0.016,1.004
78,0.051,-0.012,0.992
79,0.059,-0.016,1.004
80,0.055,-0.008,0.910
81,0.062,-0.016,0.988
82,0.055,-0.020,1.000
83,0.062,-0.020,1.008
84,0.055,-0.016,1.000
85,0.059,-0.020,0.996
86,0.051,-0.008,1.000
87,0.055,-0.020,1.004
88,0.059,-0.020,1.016
89,0.059,-0.012,0.996
90,0.059,-0.016,1.004
91,0.055,-0.012,1.008
92,0.055,-0.016,0.992
93,0.055,-0.020,1.012
94,0.055,-0.023,1.016
95,0.062,-0.008,1.000
96,0.062,-0.020,1.000
97,0.059,-0.016,1.004
98,0.059,-0.020,1.000
99,0.055,-0.012,1.004
100,0.062,-0.020,0.992
101,0.059,-0.004,1.000
102,0.062,0.102,1.023
103,0.039,0.242,1.230
104,0.031,0.180,1.211
105,0.031,-0.039,0.977
106,0.051,-0.086,0.793
107,0.043,0.203,0.762
108,0.047,0.402,1.230
109,0.070,0.109,1.375
110,0.070,-0.027,0.734
111,0.051,0.055,0.605
112,0.074,0.383,1.047
113,0.074,0.523,1.441
114,0.012,0.246,1.309
115,-0.020,0.121,0.809
116,0.023,0.195,0.828
117,0.105,0.445,1.066
118,0.043,0.430,1.207
119,0.004,0.258,0.824
120,0.078,0.102,0.863
121,0.109,0.188,0.992
122,0.105,0.301,1.008
123,0.035,0.133,0.832
124,0.031,-0.047,0.754
125,0.082,0.004,0.902
126,0.133,0.258,1.168
127,0.137,0.414,1.227
128,0.043,0.438,1.098
129,0.027,0.223,1.293
130,0.031,0.348,1.230
131,-0.020,0.613,1.266
132,-0.039,0.750,1.219
133,-0.012,0.559,1.180
134,0.035,0.340,1.023
135,0.086,0.383,1.004
136,0.129,0.590,0.824
137,0.078,0.637,0.762
138,0.023,0.344,0.949
139,0.031,0.211,0.699
140,0.102,0.254,0.613
141,0.121,0.418,0.891
142,0.090,0.621,0.859
143,0.090,0.461,1.016
144,0.043,0.234,1.090
145,0.035,0.422,0.906
146,0.055,0.637,1.074
147,-0.008,0.812,1.238
148,0.027,0.582,1.207
149,-0.082,0.230,1.156
150,-0.070,0.344,0.938
151,-0.082,0.668,0.832
152,-0.016,0.793,1.199
153,0.125,0.477,1.426
154,0.281,0.230,1.082
155,0.184,0.105,0.734
156,0.180,0.305,0.473
157,0.145,0.582,0.656
158,0.047,0.629,1.148
159,0.012,0.449,1.395
160,-0.020,0.176,1.320
161,-0.074,0.277,0.613
162,-0.008,0.523,0.645
163,-0.066,0.758,0.906
164,-0.074,0.766,1.289
165,-0.043,0.402,1.625
166,0.059,0.316,1.152
167,0.070,0.672,0.688
168,0.191,0.750,0.867
169,0.180,0.840,0.977
170,0.355,0.242,1.336
171,0.316,0.191,0.758
172,0.004,0.230,1.031
173,-0.258,0.879,0.465
174,-0.250,0.789,1.207
175,-0.176,0.375,1.387
176,0.012,0.207,1.164
177,0.141,0.230,0.820
178,0.379,0.527,0.680
179,0.297,0.793,0.797
180,-0.027,0.441,1.066
181,-0.078,0.105,1.520
182,0.047,0.480,0.980
183,0.051,0.637,1.141
184,0.156,0.562,0.965
185,-0.008,0.398,0.957
186,0.012,0.414,1.027
187,0.023,0.191,1.281
188,-0.137,0.438,1.012
189,0.137,0.441,0.848
190,0.047,0.773,0.766
191,0.277,0.461,1.590
192,0.227,0.332,1.215
193,0.043,0.531,0.703
194,-0.035,0.633,0.699
195,-0.246,0.570,1.129
196,0.023,0.270,1.344
197,0.031,0.457,0.719
198,-0.027,0.867,0.695
199,0.230,0.504,1.285
200,0.020,0.547,1.020
201,0.086,0.805,0.426
202,0.133,0.418,0.914
203,0.211,0.602,0.742
204,0.094,0.410,0.836
205,-0.023,0.457,0.879
206,-0.141,0.676,0.973
207,0.133,0.523,1.629
208,-0.180,0.590,1.543
209,-0.160,0.379,0.406
210,0.031,0.488,0.406
211,0.234,0.527,1.168
212,0.262,0.465,1.797
213,0.402,0.500,1.434
214,0.148,0.340,0.645
215,-0.023,0.273,0.219
216,-0.160,0.461,0.742
217,-0.289,0.656,1.035
218,-0.398,0.633,1.863
219,0.590,0.125,1.402
220,0.004,0.082,0.613
221,0.023,0.559,0.555
222,0.297,0.711,0.855
223,0.008,0.684,1.789
224,0.062,-0.023,1.547
225,-0.016,0.051,0.816
226,-0.113,0.492,0.809
227,0.352,0.797,1.297
228,-0.070,0.875,0.992
229,-0.129,-0.023,1.234
230,-0.098,0.160,1.047
231,0.418,0.395,0.781
232,-0.066,0.527,0.328
233,-0.320,0.836,0.863
234,0.094,0.430,0.719
235,0.352,0.621,0.789
236,0.297,0.680,1.340
237,-0.074,1.105,0.582
238,-0.367,0.957,1.309
239,-0.016,0.277,0.746
240,0.059,0.496,1.270
241,-0.020,0.406,1.824
242,-0.031,1.293,0.605
243,0.113,0.562,1.930
