Sample,X,Y,Z
0,-0.426,-0.418,0.445
1,-0.031,0.012,0.992
2,-0.020,0.004,0.988
3,-0.020,-0.004,0.984
4,-0.012,-0.004,0.984
5,-0.016,0.008,0.984
6,-0.012,0.008,0.984
7,-0.008,0.008,0.977
8,-0.016,0.000,0.977
9,-0.012,0.012,0.980
10,-0.012,0.008,0.977
11,-0.012,0.020,0.988
12,-0.012,0.016,0.984
13,-0.012,0.016,0.992
14,-0.016,0.004,0.988
15,-0.016,0.000,0.977
16,-0.012,0.004,0.980
17,-0.016,0.008,0.980
18,-0.008,0.004,0.980
19,-0.012,0.008,0.980
20,-0.023,0.031,0.984
21,-0.012,0.012,0.988
22,-0.016,0.008,0.988
23,-0.012,0.004,0.992
24,-0.012,0.004,0.988
25,-0.012,0.012,0.984
26,-0.012,0.008,0.988
27,-0.008,0.004,0.984
28,-0.008,0.004,0.988
29,-0.020,0.000,0.988
30,-0.016,0.004,0.984
31,-0.008,0.008,0.980
32,-0.012,0.012,0.984
33,-0.016,0.016,0.980
34,-0.016,0.012,0.992
35,-0.008,0.012,0.988
36,-0.012,0.008,0.988
37,-0.020,-0.004,0.980
38,-0.023,0.000,0.980
39,-0.016,0.000,0.977
40,-0.031,0.012,0.988
41,-0.016,0.004,0.980
42,-0.016,0.004,0.977
43,-0.016,0.008,0.980
44,-0.008,0.012,0.988
45,-0.012,0.008,0.980
46,-0.008,0.008,0.980
47,-0.004,0.016,0.980
48,-0.012,0.008,0.988
49,-0.008,0.000,0.977
50,-0.012,0.000,0.980
51,-0.020,0.004,0.969
52,-0.008,0.000,0.980
53,-0.012,0.004,0.984
54,-0.020,0.012,0.984
55,-0.016,0.008,0.984
56,-0.004,0.008,0.988
57,-0.008,0.004,0.988
58,-0.016,0.000,0.988
59,-0.012,0.008,0.980
60,-0.035,0.000,0.980
61,-0.020,0.000,0.988
62,-0.016,0.004,0.980
63,-0.008,0.000,0.980
64,-0.008,0.008,0.977
65,-0.016,0.012,0.992
66,-0.008,0.004,0.984
67,-0.012,0.016,0.988
68,-0.008,0.004,0.988
69,-0.012,0.004,0.980
70,-0.012,0.012,0.984
71,-0.008,0.004,0.980
72,-0.004,0.004,0.980
73,-0.008,0.000,0.980
74,-0.012,0.008,0.977
75,-0.016,0.004,0.980
76,-0.012,0.004,0.988
77,-0.016,0.016,0.992
78,-0.016,0.004,0.984
79,-0.004,0.012,0.980
80,-0.047,0.059,0.988
81,-0.012,0.012,0.984
82,-0.016,0.004,0.984
83,-0.012,0.004,0.992
84,-0.012,0.004,0.980
85,-0.012,0.000,0.988
86,-0.008,0.008,0.984
87,-0.008,0.000,0.988
88,-0.012,0.004,0.980
89,-0.008,0.004,0.984
90,-0.012,0.012,0.988
91,-0.004,0.020,0.988
92,-0.012,0.004,0.973
93,-0.004,0.004,0.926
94,0.004,0.059,0.859
95,-0.012,0.262,1.020
96,-0.074,0.469,1.168
97,-0.164,0.531,1.059
98,-0.215,0.500,1.000
99,-0.145,0.562,1.152
100,0.031,0.684,1.137
101,0.008,0.801,0.949
102,-0.430,0.848,0.973
103,-0.699,0.754,1.441
104,-0.277,0.406,1.391
105,0.359,-0.105,0.480
106,0.285,-0.273,-0.023
107,-0.488,0.148,0.723
108,-0.980,0.586,1.688
109,-0.719,0.453,1.367
110,-0.160,0.035,0.090
111,-0.078,0.191,-0.059
112,-0.531,0.965,1.422
113,-0.766,1.422,1.973
114,-0.922,1.199,1.027
115,-1.227,0.840,0.352
116,-0.941,0.719,1.031
117,0.098,0.730,1.434
118,0.582,0.672,0.957
119,-0.320,0.465,0.250
120,-1.141,0.297,0.086
121,-0.500,0.391,0.898
122,0.516,0.734,1.789
123,0.426,0.828,1.336
124,-0.512,0.609,0.012
125,-0.922,0.562,-0.312
126,-0.637,1.051,1.250
127,-0.273,1.488,1.992
128,-0.254,1.277,1.438
129,-0.785,0.801,0.082
130,-1.246,0.781,0.715
131,-0.719,0.992,1.902
132,0.211,0.812,1.879
133,0.457,0.262,0.613
134,-0.312,-0.008,-0.066
135,-1.004,0.371,0.551
136,-0.418,0.852,1.691
137,0.504,0.844,1.523
138,0.453,0.539,0.461
139,-0.363,0.402,0.078
140,-0.660,0.531,0.559
141,-0.125,0.703,1.172
142,-0.133,0.832,1.484
143,-1.078,0.742,1.250
144,-1.617,0.723,0.902
145,-0.656,0.742,0.723
146,0.172,0.934,1.020
147,-0.445,1.094,1.488
148,-1.051,0.965,0.945
149,-0.520,0.637,0.086
150,-0.195,0.652,0.637
151,-0.582,0.949,1.652
152,-1.250,1.102,1.848
153,-0.742,0.840,0.938
154,0.090,0.480,0.188
155,0.168,0.531,0.375
156,-0.172,0.680,0.801
157,-0.613,0.645,0.805
158,-0.445,0.602,0.977
159,-0.246,0.527,1.410
160,-0.246,0.395,1.348
161,-0.320,0.387,0.984
162,-0.438,0.637,0.660
163,-0.211,0.824,0.160
164,-0.180,0.809,0.520
165,-0.789,0.969,1.656
166,-0.809,0.977,1.992
167,-0.633,0.805,1.754
168,-0.250,0.574,0.383
169,0.301,0.277,-0.918
170,-0.328,0.523,0.012
171,-0.785,0.684,1.547
172,-0.512,0.941,1.914
173,-0.605,0.770,0.949
174,-0.344,0.633,-0.027
175,0.383,0.180,-0.422
