Sample,X,Y,Z
0,-0.012,-0.035,0.945
1,-0.031,0.012,0.980
2,-0.023,0.027,0.984
3,-0.023,0.023,0.988
4,-0.023,0.023,0.988
5,-0.023,0.023,0.980
6,-0.023,0.016,0.977
7,-0.027,0.023,0.980
8,-0.023,0.020,0.977
9,-0.020,0.023,0.977
10,-0.016,0.023,0.980
11,-0.023,0.016,0.984
12,-0.023,0.020,0.988
13,-0.020,0.020,0.984
14,-0.020,0.020,0.992
15,-0.020,0.020,0.973
16,-0.020,0.016,0.973
17,-0.020,0.020,0.980
18,-0.020,0.016,0.977
19,-0.020,0.016,0.977
20,-0.020,0.039,0.980
21,-0.023,0.020,0.984
22,-0.023,0.016,0.980
23,-0.027,0.023,0.988
24,-0.023,0.023,0.984
25,-0.027,0.020,0.984
26,-0.020,0.020,0.984
27,-0.023,0.023,0.988
28,-0.031,0.008,0.980
29,-0.020,0.012,0.980
30,-0.020,0.016,0.988
31,-0.027,0.016,0.980
32,-0.020,0.023,0.980
33,-0.020,0.016,0.984
34,-0.027,0.020,0.984
35,-0.027,0.023,0.988
36,-0.023,0.016,0.988
37,-0.023,0.020,0.984
38,-0.016,0.016,0.977
39,-0.016,0.016,0.992
40,-0.008,-0.023,0.969
41,-0.023,0.016,0.973
42,-0.020,0.012,0.980
43,-0.023,0.012,0.980
44,-0.027,0.016,0.984
45,-0.031,0.020,0.973
46,-0.027,0.016,0.984
47,-0.027,0.023,0.988
48,-0.031,0.023,0.977
49,-0.016,0.016,0.984
50,-0.020,0.020,0.980
51,-0.023,0.012,0.984
52,-0.023,0.016,0.977
53,-0.020,0.020,0.980
54,-0.023,0.023,0.992
55,-0.027,0.020,0.984
56,-0.031,0.012,0.984
57,-0.027,0.016,0.984
58,-0.027,0.023,0.984
59,-0.023,0.020,0.984
60,-0.008,0.039,0.984
61,-0.020,0.020,0.984
62,-0.023,0.012,0.984
63,-0.023,0.023,0.980
64,-0.023,0.016,0.980
65,-0.016,0.020,0.980
66,-0.020,0.023,0.980
67,-0.027,0.016,0.988
68,-0.031,0.020,0.984
69,-0.020,0.016,0.984
70,-0.027,0.020,0.992
71,-0.020,0.020,0.984
72,-0.027,0.020,0.977
73,-0.023,0.008,0.980
74,-0.027,0.008,0.984
75,-0.020,0.020,0.980
76,-0.020,0.016,0.984
77,-0.020,0.020,0.984
78,-0.027,0.020,0.984
79,-0.027,0.020,0.980
80,-0.016,0.078,0.969
81,-0.020,0.016,0.984
82,-0.020,0.016,0.980
83,-0.020,0.020,0.980
84,-0.023,0.008,0.973
85,-0.016,0.020,0.973
86,-0.020,0.016,0.984
87,-0.023,0.020,0.977
88,-0.023,0.012,0.988
89,-0.023,0.012,0.984
90,-0.027,0.023,0.988
91,-0.027,0.027,0.988
92,-0.023,0.020,0.988
93,-0.039,0.012,1.008
94,-0.121,-0.016,1.184
95,-0.316,-0.098,1.359
96,-0.559,-0.254,1.098
97,-0.574,-0.371,0.629
98,-0.367,-0.371,0.551
99,-0.328,-0.312,0.902
100,-0.562,-0.391,1.164
101,-0.777,-0.480,0.891
102,-0.594,-0.496,0.438
103,-0.309,-0.363,0.473
104,-0.324,-0.191,0.695
105,-0.477,-0.137,0.812
106,-0.441,-0.094,1.102
107,-0.277,0.016,1.270
108,-0.180,0.098,1.145
109,-0.191,0.141,1.301
110,-0.391,-0.004,1.855
111,-0.645,-0.227,1.949
112,-0.629,-0.453,1.129
113,-0.449,-0.465,0.441
114,-0.316,-0.316,0.691
115,-0.656,-0.359,1.309
116,-1.215,-0.586,1.281
117,-1.070,-0.742,0.605
118,-0.488,-0.555,0.227
119,-0.395,-0.270,0.316
120,-0.957,-0.105,0.859
121,-1.270,-0.156,1.184
122,-0.711,-0.281,0.793
123,0.012,-0.297,0.855
124,-0.184,-0.262,1.234
125,-0.777,-0.398,0.980
126,-0.758,-0.492,0.852
127,-0.375,-0.492,1.168
128,-0.660,-0.547,0.906
129,-1.215,-0.570,0.535
130,-0.898,-0.504,0.910
131,-0.508,-0.492,0.977
132,-0.895,-0.480,0.547
133,-1.363,-0.316,0.660
134,-1.199,-0.238,0.953
135,-0.551,-0.273,1.207
136,-0.738,-0.332,1.133
137,-1.301,-0.246,1.469
138,-0.961,-0.180,1.617
139,-0.125,-0.141,1.551
140,0.441,-0.285,0.723
141,0.145,-0.402,0.664
142,-0.293,-0.465,0.824
143,-0.418,-0.566,0.750
144,-0.359,-0.621,0.996
145,-0.527,-0.688,0.469
146,-0.582,-0.574,0.254
147,-0.582,-0.402,0.977
148,-1.402,-0.371,1.469
149,-1.805,-0.508,1.109
150,-1.648,-0.430,0.863
151,-1.328,-0.281,1.125
152,-0.949,-0.195,0.508
153,-0.840,-0.387,0.488
154,-0.840,-0.434,0.832
155,-0.414,-0.617,0.582
156,-0.797,-0.551,1.570
157,-1.328,-0.410,1.297
158,-0.422,-0.438,0.723
159,0.281,-0.180,1.586
160,-0.258,0.051,1.402
161,-0.996,0.031,0.695
162,-0.703,-0.074,0.250
163,0.215,-0.203,1.090
164,-0.383,-0.363,0.578
165,-1.367,-0.551,0.637
166,-1.168,-0.465,1.906
167,-0.480,-0.547,1.688
168,0.223,-0.875,0.285
169,-0.910,-0.574,0.605
170,-1.910,-0.391,-0.043
171,-0.918,-0.215,0.355
172,0.012,-0.242,1.535
173,-0.301,-0.406,1.613
174,-1.539,-0.648,1.055
175,-1.055,-0.387,1.496
