Sample,X,Y,Z
0,0.020,-0.059,0.973
1,-0.027,0.023,0.992
2,-0.020,0.004,0.977
3,-0.027,0.012,0.977
4,-0.016,0.016,0.984
5,-0.020,0.016,0.992
6,-0.020,0.012,0.992
7,-0.020,0.016,0.980
8,-0.016,0.004,0.980
9,-0.020,0.008,0.992
10,-0.020,0.012,0.984
11,-0.020,0.004,0.965
12,-0.020,0.004,0.977
13,-0.023,0.016,0.992
14,-0.023,0.004,0.980
15,-0.023,0.004,0.977
16,-0.027,0.012,0.984
17,-0.023,0.020,0.980
18,-0.020,0.016,0.988
19,-0.020,0.020,0.980
20,-0.016,-0.004,0.980
21,-0.023,0.020,0.984
22,-0.023,0.023,0.996
23,-0.020,0.000,0.969
24,-0.012,0.012,0.973
25,-0.027,0.016,0.992
26,-0.023,0.012,0.992
27,-0.020,0.012,0.973
28,-0.016,0.020,0.980
29,-0.016,0.012,0.996
30,-0.020,0.016,0.984
31,-0.016,0.000,0.984
32,-0.023,0.020,0.980
33,-0.023,0.012,0.984
34,-0.020,0.020,0.984
35,-0.020,0.008,0.973
36,-0.012,0.004,0.965
37,-0.023,0.016,1.000
38,-0.027,0.016,0.996
39,-0.016,0.016,0.977
40,-0.027,0.004,0.977
41,-0.020,0.012,0.992
42,-0.020,0.020,0.988
43,-0.020,0.004,0.980
44,-0.023,0.008,0.980
45,-0.023,0.012,0.977
46,-0.020,0.008,0.977
47,-0.016,0.004,0.980
48,-0.020,0.016,0.977
49,-0.023,0.016,0.992
50,-0.016,0.020,0.988
51,-0.012,0.008,0.984
52,-0.020,0.008,0.992
53,-0.023,0.016,0.988
54,-0.016,0.012,0.984
55,-0.020,0.012,0.984
56,-0.020,0.016,0.973
57,-0.016,0.012,0.980
58,-0.027,0.012,0.992
59,-0.023,0.004,0.980
60,-0.039,-0.027,0.969
61,-0.020,0.020,0.996
62,-0.016,0.016,0.988
63,-0.012,0.012,0.965
64,-0.023,0.016,0.988
65,-0.023,0.012,1.004
66,-0.016,0.008,0.969
67,-0.016,0.008,0.977
68,-0.012,0.008,0.992
69,-0.020,0.012,0.980
70,-0.016,0.016,0.984
71,-0.020,0.012,0.988
72,-0.023,0.016,0.980
73,-0.020,0.016,0.984
74,-0.027,0.016,0.996
75,-0.020,0.016,0.980
76,-0.023,0.008,0.965
77,-0.023,0.012,0.996
78,-0.016,0.008,0.977
79,-0.020,0.008,0.973
80,-0.043,0.020,0.992
81,-0.016,0.016,0.988
82,-0.020,0.020,0.988
83,-0.023,0.012,0.980
84,-0.008,0.020,0.980
85,-0.016,0.008,0.992
86,-0.020,0.023,0.992
87,-0.016,0.008,0.965
88,-0.012,0.004,0.984
89,-0.027,0.016,1.000
90,-0.016,0.012,0.977
91,-0.016,0.012,0.965
92,-0.027,0.020,1.004
93,-0.027,0.020,0.992
94,-0.098,0.031,1.039
95,-0.352,-0.004,1.207
96,-0.621,-0.102,1.164
97,-0.566,-0.164,0.992
98,-0.297,-0.066,0.996
99,-0.379,0.020,0.914
100,-0.660,-0.004,0.793
101,-0.625,-0.031,0.902
102,-0.250,0.094,1.082
103,-0.148,0.309,1.055
104,-0.430,0.457,0.961
105,-0.551,0.441,0.922
106,-0.258,0.328,0.793
107,0.094,0.262,0.785
108,0.043,0.305,1.129
109,-0.402,0.281,1.359
110,-0.656,0.102,1.008
111,-0.488,0.055,0.902
112,-0.641,0.285,1.480
113,-1.297,0.418,1.645
114,-1.539,0.164,0.652
115,-0.844,-0.184,-0.547
116,-0.512,-0.055,-0.266
117,-1.043,0.508,1.535
118,-1.371,0.586,1.863
119,-0.957,-0.027,-0.027
120,-0.477,-0.281,-0.555
121,-0.770,0.188,0.980
122,-0.539,0.492,1.527
123,0.078,0.270,1.070
124,-0.312,-0.016,0.367
125,-0.957,0.148,0.578
126,-1.344,0.660,1.711
127,-1.113,0.676,1.934
128,-0.660,0.172,0.973
129,-0.570,-0.055,0.312
130,-0.914,0.293,1.469
131,-1.473,0.402,1.945
132,-1.457,-0.129,0.699
133,-0.688,-0.508,-0.445
134,-0.141,-0.230,0.707
135,-0.164,0.117,1.906
136,-0.488,0.105,1.004
137,-0.629,0.020,0.203
138,-0.203,0.250,0.648
139,0.379,0.559,1.352
140,-0.039,0.734,1.676
141,-1.203,0.637,1.113
142,-1.227,0.277,0.289
143,-0.809,0.285,0.488
144,-0.703,0.520,1.387
145,-1.172,0.562,1.859
146,-1.762,0.312,1.531
147,-1.832,-0.004,0.184
148,-1.137,-0.023,-0.254
149,-0.648,0.246,0.961
150,-0.863,0.367,1.297
151,-1.441,0.301,0.574
152,-1.277,0.074,-0.281
153,-0.102,0.043,0.203
154,-0.207,0.262,1.152
155,-1.391,0.598,1.793
156,-0.883,0.516,1.898
157,-0.449,0.195,0.496
158,-0.715,0.195,0.062
159,-1.469,0.504,1.492
160,-1.574,0.594,1.969
161,-0.219,0.125,0.555
162,0.930,-0.148,-0.141
163,-0.336,0.219,1.527
164,-1.938,0.449,1.852
165,-1.375,0.258,0.906
166,0.473,-0.121,0.129
167,0.031,-0.117,-0.227
168,-0.527,0.273,0.922
169,-0.723,0.281,1.977
170,-1.035,0.305,1.469
171,-0.305,0.105,0.895
172,-0.980,0.062,0.883
173,-1.613,0.156,0.930
174,-0.652,-0.141,0.094
175,0.352,-0.211,0.301
176,-0.453,-0.055,1.871
177,-1.992,0.227,1.758
178,-1.430,0.152,-0.020
179,0.051,0.223,-0.258
180,-0.332,0.289,-0.332
181,-1.059,0.230,0.949
182,-1.949,0.504,1.980
183,-1.211,0.504,1.379
184,0.770,0.516,0.188
185,-0.051,0.527,0.203
186,-1.590,0.445,1.098
187,-1.160,0.191,1.363
188,-0.156,0.305,1.801
189,-0.051,0.598,1.027
190,-1.125,0.730,0.242
191,-0.824,0.508,1.301
192,-0.582,0.246,1.438
193,-0.707,0.328,1.387
194,-1.445,0.254,0.676
195,-0.477,0.152,-0.691
196,1.133,0.148,0.871
197,-0.703,0.195,1.992
198,-1.496,-0.133,1.301
199,-0.777,-0.465,-0.414
200,0.977,-0.410,-0.836
201,1.664,0.285,1.758
202,-1.477,0.387,1.820
203,-1.469,-0.285,-0.172
204,0.387,-0.363,0.031
205,0.465,0.180,1.863
206,-0.574,0.457,1.809
207,-1.328,0.156,0.633
208,-0.723,0.051,0.707
209,0.938,0.051,1.473
210,0.176,-0.195,0.008
211,-1.562,-0.309,-0.957
212,-0.711,0.062,1.652
213,0.539,-0.109,0.988
214,1.715,-0.371,-0.402
215,0.066,0.008,1.441
216,-1.992,0.117,1.141
217,0.219,-0.113,0.125
218,1.492,0.070,1.641
219,1.492,0.070,1.641
220,-0.098,0.203,1.680
221,-0.262,0.496,1.848
222,-1.047,0.621,1.949
223,0.164,0.371,1.164
224,0.156,-0.051,0.031
225,-1.457,0.105,0.465
226,-0.137,0.113,1.762
227,0.312,-0.086,1.500
228,0.098,-0.340,-0.383
229,0.879,-0.691,-1.176
230,0.391,-0.254,1.117
231,0.277,-0.172,1.922
232,-0.816,-0.270,-0.082
233,-0.047,-0.035,-0.027
234,1.707,0.148,1.395
235,0.578,0.379,1.527
236,-0.867,0.227,1.770
237,-0.848,0.301,1.555
238,0.699,0.145,1.438
239,0.262,-0.008,1.125
240,-1.871,-0.070,0.008
241,-0.684,-0.086,1.281
242,0.789,-0.137,1.797
243,-0.141,-0.477,-0.188
244,-0.441,-0.379,-0.250
245,-0.969,-0.172,0.988
246,0.262,-0.160,0.594
247,1.477,-0.074,0.355
248,-0.738,0.375,1.605
249,-1.062,0.496,1.457
250,1.477,0.148,0.168
251,1.809,0.215,1.562
252,-0.391,0.383,1.879
253,-1.066,0.215,0.672
254,0.273,-0.027,0.168
255,0.816,0.180,1.230
256,-0.410,0.215,1.988
257,-0.867,-0.215,0.738
258,-0.867,-0.215,0.738
259,0.141,-0.363,0.176
260,0.277,-0.125,0.043
261,0.027,0.039,1.047
262,-1.531,0.082,1.793
263,-1.406,-0.098,0.570
264,0.875,-0.293,0.258
265,0.879,0.039,0.863
266,-0.469,0.246,1.145
267,0.926,-0.016,1.512
268,1.383,-0.293,0.973
269,-0.488,-0.352,0.879
270,-1.266,0.004,0.477
271,0.000,0.270,1.559
272,1.305,0.348,1.848
273,0.828,-0.016,0.746
274,-1.441,-0.410,-0.379
275,-0.926,0.043,0.812
276,0.055,0.445,1.992
277,0.168,0.125,1.020
278,0.168,0.125,1.020
279,-0.324,-0.199,-0.023
280,-0.949,-0.289,-0.027
281,0.762,-0.070,0.551
282,1.176,0.262,1.926
283,-0.930,0.277,1.211
284,-0.273,-0.043,-0.254
285,0.898,0.031,0.816
286,0.430,0.305,1.930
287,-0.914,0.121,1.172
288,-0.363,-0.203,-0.516
289,1.449,0.184,1.500
290,0.293,0.379,1.957
291,-1.688,0.062,0.238
292,-0.836,-0.078,-0.445
293,0.957,-0.051,0.930
294,0.586,0.195,1.859
295,-1.172,0.133,1.656
296,-1.207,-0.320,-0.016
297,1.277,-0.570,-0.910
298,1.305,-0.152,0.605
299,-0.816,0.363,1.992
300,-1.043,-0.016,1.715
301,1.344,-0.367,0.355
302,1.355,-0.418,0.398
303,-1.496,0.363,1.945
304,-1.250,0.273,1.512
305,1.188,-0.031,0.359
306,1.367,-0.398,-0.512
307,-1.168,-0.023,0.715
308,-1.992,0.406,1.977
309,-0.465,0.234,1.648
310,1.770,-0.141,0.301
311,0.445,-0.309,-0.426
312,-0.656,-0.090,-0.090
313,-0.453,0.336,1.703
314,0.328,0.492,1.887
315,1.316,-0.129,0.074
316,0.332,-0.188,-0.285
317,-0.730,0.258,1.523
318,-0.621,0.738,1.988
319,0.707,0.352,0.562
320,1.449,-0.027,-0.680
321,-0.566,-0.035,0.973
